Experiment, Validation, Test, Generations
0, 25.65, 19.46, 48
0, 17.74, 22.85, 48
0, 17.3, 17.29, 48
0, 42, 27.54, 48
0, 25.83, 36.4, 48
0, 22.52, 17.81, 48
0, 28.7, 18.25, 48
0, 24.26, 24.59, 48
0, 19.04, 28.93, 48
0, 42, 36.4, 48
0, 23.04, 25.98, 48
0, 41.65, 36.4, 48
0, 42, 19.29, 48
0, 42, 29.54, 48
0, 18, 22.07, 48
1, 41.74, 36.75, 48
1, 41.65, 36.75, 48
1, 41.74, 36.66, 48
1, 41.57, 36.4, 48
1, 41.39, 36.49, 48
1, 41.74, 36.75, 48
1, 41.74, 36.66, 48
1, 41.57, 36.66, 48
1, 41.83, 37.19, 48
1, 41.74, 36.66, 48
1, 41.65, 36.84, 48
1, 41.74, 36.66, 48
1, 41.13, 36.58, 48
1, 41.91, 36.75, 48
1, 41.83, 36.92, 48
2, 41.3, 36.4, 48
2, 41.57, 36.84, 48
2, 41.57, 36.49, 48
2, 41.13, 36.66, 48
2, 41.39, 36.49, 48
2, 41.39, 35.79, 48
2, 42.17, 36.66, 48
2, 41.3, 36.58, 48
2, 41.3, 36.66, 48
2, 41.22, 36.4, 48
2, 41.22, 36.4, 48
2, 42, 36.14, 48
2, 41.74, 36.4, 48
2, 41.04, 36.58, 48
2, 41.3, 36.58, 48
3, 27.3, 24.24, 48
3, 42, 36.4, 48
3, 26.52, 19.55, 48
3, 23.48, 20.94, 48
3, 26.7, 20.76, 48
3, 42, 23.2, 48
3, 42, 24.07, 48
3, 55.13, 25.54, 48
3, 23.22, 21.89, 48
3, 27.39, 19.9, 48
3, 42, 36.4, 48
3, 26.26, 36.4, 48
3, 42, 60.12, 48
3, 25.13, 21.72, 48
3, 22.96, 29.63, 48
4, 26.7, 28.84, 48
4, 25.65, 27.37, 48
4, 41.3, 35.97, 48
4, 26.26, 29.45, 48
4, 28.7, 24.33, 48
4, 23.65, 36.32, 48
4, 22.78, 27.11, 48
4, 28.78, 25.8, 48
4, 41.74, 36.06, 48
4, 41.3, 25.8, 48
4, 30.52, 36.06, 48
4, 26.78, 36.4, 48
4, 41.3, 35.88, 48
4, 41.3, 26.24, 48
4, 25.83, 36.06, 48
5, 41.3, 35.97, 48
5, 41.83, 36.14, 48
5, 41.83, 35.97, 48
5, 41.48, 36.23, 48
5, 41.57, 36.4, 48
5, 41.3, 36.32, 48
5, 41.74, 36.14, 48
5, 41.3, 36.06, 48
5, 41.83, 36.14, 48
5, 41.83, 36.06, 48
5, 41.3, 36.14, 48
5, 41.65, 36.49, 48
