Experiment, Validation, Test, Generations
0, 1.72, 1.71, 32
0, 0.57, 2.29, 32
0, 0.57, 2.29, 32
0, 0.57, 2.29, 32
0, 0.57, 2.29, 32
0, 0.57, 2.29, 32
0, 0.57, 2.29, 32
0, 0.57, 2.29, 32
0, 0.57, 2.29, 32
0, 0.57, 2.29, 32
0, 0.57, 2.29, 32
0, 0.57, 2.29, 32
0, 0.57, 2.29, 32
0, 0.57, 2.29, 32
0, 0.57, 2.29, 32
0, 0.57, 2.29, 32
1, 1.15, 4, 20
1, 0, 2.29, 20
1, 0, 2.29, 20
1, 0, 2.29, 20
1, 0, 2.29, 20
1, 0, 2.29, 20
1, 0, 2.29, 20
1, 0, 2.29, 20
1, 0, 2.29, 20
1, 0, 2.29, 20
1, 0, 2.29, 20
1, 0, 2.29, 20
1, 0, 2.29, 20
1, 0, 2.29, 20
1, 0, 2.29, 20
1, 0, 2.29, 20
2, 0.57, 2.86, 20
2, 0.57, 2.29, 20
2, 0.57, 2.29, 20
2, 0.57, 2.29, 20
2, 0.57, 2.29, 20
2, 0.57, 2.29, 20
2, 0.57, 2.29, 20
2, 0.57, 2.29, 20
2, 0.57, 2.29, 20
2, 0.57, 2.29, 20
2, 0.57, 2.29, 20
2, 0.57, 2.29, 20
2, 0.57, 2.29, 20
2, 0.57, 2.29, 20
2, 0.57, 2.29, 20
2, 0.57, 2.29, 20
3, 0.57, 1.71, 20
3, 0.57, 2.29, 20
3, 0.57, 2.29, 20
3, 0.57, 2.29, 20
3, 0.57, 2.29, 20
3, 0.57, 2.29, 20
3, 0.57, 2.29, 20
3, 0.57, 2.29, 20
3, 0.57, 2.29, 20
3, 0.57, 2.29, 20
3, 0.57, 2.29, 20
3, 0.57, 2.29, 20
3, 0.57, 2.29, 20
3, 0.57, 2.29, 20
3, 0.57, 2.29, 20
3, 0.57, 2.29, 20
4, 0.57, 2.29, 10
4, 0.57, 2.29, 10
4, 0.57, 2.29, 10
4, 0.57, 2.29, 10
4, 0.57, 2.29, 10
4, 0.57, 2.29, 10
4, 0.57, 2.29, 10
4, 0.57, 2.29, 10
4, 0.57, 2.29, 10
4, 0.57, 2.29, 10
4, 0.57, 2.29, 10
4, 0.57, 2.29, 10
4, 0.57, 2.29, 10
4, 0.57, 2.29, 10
4, 0.57, 2.29, 10
4, 0.57, 2.29, 10
5, 1.72, 2.29, 30
5, 0.57, 1.71, 30
5, 0.57, 1.71, 30
5, 0.57, 1.71, 30
5, 0.57, 1.71, 30
5, 0.57, 1.71, 30
5, 0.57, 1.71, 30
5, 0.57, 1.71, 30
5, 0.57, 1.71, 30
5, 0.57, 1.71, 30
5, 0.57, 1.71, 30
5, 0.57, 1.71, 30
5, 0.57, 1.71, 30
5, 0.57, 1.71, 30
5, 0.57, 1.71, 30
5, 0.57, 1.71, 30
6, 0.57, 2.29, 20
6, 0.57, 2.29, 20
6, 0.57, 2.29, 20
6, 0.57, 2.29, 20
