Generation, Average-F2, Max-F2, Average-Acc, Min-Acc 
0, 0.01352, 0.79340, 38.73, 31.04
1, 0.01269, 0.57583, 38.55, 24.87
2, 0.03302, 0.55156, 38.19, 24.96
3, 0.03956, 0.80000, 38.10, 25.30
4, 0.03507, 0.78839, 38.49, 25.39
5, 0.01825, 0.50831, 38.40, 25.30
6, 0.03188, 0.80112, 38.36, 26.26
7, 0.02114, 0.76242, 38.33, 23.57
8, 0.00529, 0.28861, 38.67, 31.57
9, 0.01288, 0.80768, 38.56, 23.22
10, 0.01298, 0.41605, 38.49, 28.78
11, 0.00057, 0.03059, 38.79, 38.09
12, 0.00562, 0.35969, 38.66, 29.57
13, 0.01296, 0.82930, 38.62, 27.65
14, 0.01285, 0.82240, 38.59, 25.91
15, 0.00048, 0.03059, 38.79, 38.09
16, 0.00035, 0.01665, 38.80, 38.78
17, 0.00009, 0.00560, 38.79, 38.61
18, 0.00176, 0.07642, 38.77, 37.74
19, 0.01565, 0.55873, 38.40, 25.65
20, 0.01810, 0.50756, 38.37, 25.65
21, 0.01734, 0.57838, 38.38, 25.22
22, 0.00837, 0.53563, 38.58, 24.61
23, 0.01684, 0.54837, 38.37, 25.39
24, 0.03514, 0.80441, 38.44, 25.30
25, 0.01027, 0.54301, 38.55, 25.30
26, 0.02918, 0.62443, 38.17, 25.39
27, 0.02464, 0.55714, 38.15, 25.39
28, 0.02270, 0.54139, 38.24, 25.22
29, 0.04718, 0.82665, 37.92, 24.96
30, 0.03866, 0.54113, 37.71, 24.87
31, 0.05888, 0.56214, 37.33, 25.30
0, 0.01529, 0.73915, 38.61, 26.17
1, 0.04176, 0.73134, 38.13, 25.13
2, 0.03507, 0.78400, 38.55, 24.96
3, 0.02559, 0.59280, 38.39, 25.48
4, 0.02414, 0.77457, 38.95, 28.96
5, 0.03429, 0.78328, 38.08, 23.39
6, 0.02047, 0.69348, 38.42, 27.57
7, 0.04406, 0.76580, 38.48, 24.96
8, 0.04297, 0.80733, 38.17, 26.35
9, 0.06981, 0.74539, 37.27, 24.43
10, 0.04905, 0.67904, 37.64, 23.57
11, 0.07641, 0.79431, 37.18, 23.74
12, 0.07312, 0.73325, 37.39, 24.87
13, 0.05292, 0.71367, 37.66, 24.43
14, 0.03585, 0.77877, 38.07, 24.09
15, 0.03177, 0.77989, 38.33, 23.74
16, 0.01251, 0.78958, 38.73, 29.83
17, 0.00723, 0.45977, 38.61, 25.65
18, 0.00770, 0.49282, 38.59, 24.61
19, 0.00000, 0.00000, 38.80, 38.78
20, 0.00000, 0.00000, 38.79, 38.78
21, 0.01061, 0.67929, 38.59, 25.83
22, 0.01255, 0.80309, 38.76, 36.52
23, 0.02440, 0.81466, 38.46, 27.57
24, 0.00000, 0.00000, 38.81, 38.78
25, 0.01355, 0.80733, 38.91, 38.78
26, 0.00900, 0.57574, 38.59, 25.48
27, 0.01156, 0.73959, 38.53, 21.91
28, 0.01669, 0.80274, 38.82, 31.39
29, 0.01715, 0.71803, 38.43, 25.65
30, 0.02051, 0.80692, 38.40, 25.57
31, 0.00000, 0.00000, 38.81, 38.78
0, 0.00868, 0.55529, 38.67, 26.17
1, 0.01371, 0.56291, 38.57, 26.09
2, 0.05720, 0.75340, 37.89, 23.91
3, 0.03644, 0.77945, 38.61, 28.43
4, 0.04761, 0.79216, 38.46, 25.22
5, 0.05136, 0.66300, 37.58, 23.39
6, 0.05705, 0.78438, 38.09, 24.61
7, 0.06238, 0.80296, 37.73, 23.83
8, 0.06771, 0.69057, 37.22, 25.48
9, 0.06276, 0.77296, 37.80, 23.57
10, 0.04618, 0.74937, 37.92, 25.48
11, 0.09733, 0.80453, 37.03, 25.04
12, 0.07632, 0.84593, 37.00, 24.43
13, 0.06552, 0.83960, 37.15, 21.91
14, 0.09775, 0.79496, 37.02, 24.52
15, 0.15383, 0.82461, 35.54, 22.61
16, 0.16519, 0.81676, 35.21, 20.35
17, 0.15629, 0.78059, 35.38, 22.43
18, 0.16833, 0.77383, 35.41, 22.87
19, 0.20107, 0.79910, 34.67, 23.13
20, 0.22035, 0.83432, 34.21, 20.35
21, 0.21506, 0.81218, 34.16, 22.43
22, 0.28896, 0.82195, 32.78, 20.96
23, 0.34153, 0.79378, 31.42, 21.91
24, 0.28817, 0.77976, 33.03, 21.39
25, 0.35422, 0.79433, 31.85, 21.83
26, 0.32892, 0.79692, 32.17, 22.35
27, 0.38962, 0.80577, 30.90, 22.61
28, 0.37829, 0.79616, 31.27, 21.48
29, 0.33968, 0.81621, 31.82, 24.00
30, 0.35215, 0.78578, 30.97, 20.78
31, 0.40897, 0.82133, 29.93, 21.48
0, 0.00354, 0.22086, 38.81, 32.61
1, 0.00061, 0.02508, 38.81, 38.09
2, 0.03477, 0.71523, 37.96, 24.00
3, 0.01216, 0.74790, 38.66, 28.70
4, 0.02689, 0.61782, 38.20, 25.57
5, 0.05866, 0.82398, 37.54, 25.13
6, 0.00985, 0.56084, 38.57, 25.57
7, 0.01008, 0.55345, 38.59, 26.78
8, 0.01101, 0.52759, 38.57, 25.39
9, 0.01870, 0.78541, 38.81, 27.91
10, 0.01566, 0.67909, 38.48, 26.35
11, 0.02994, 0.77646, 38.24, 25.13
12, 0.03134, 0.77727, 38.69, 25.57
13, 0.04018, 0.74344, 38.04, 25.22
14, 0.04298, 0.81804, 38.11, 24.35
15, 0.03659, 0.74491, 38.13, 24.09
16, 0.01346, 0.81772, 38.75, 33.57
17, 0.00000, 0.00000, 38.80, 38.78
18, 0.00824, 0.52747, 38.57, 24.78
19, 0.00000, 0.00000, 38.82, 38.78
20, 0.00000, 0.00000, 38.79, 38.78
21, 0.00000, 0.00000, 38.80, 38.78
