Experiment, Validation, Test, Generations
0, 25.48, 28.24, 32
0, 23.74, 26.24, 32
0, 38.78, 39.01, 32
0, 28.09, 23.02, 32
0, 26.09, 39.01, 32
0, 25.22, 26.59, 32
0, 23.65, 39.01, 32
0, 23.3, 25.72, 32
0, 26.17, 26.06, 32
0, 26.78, 24.5, 32
0, 27.04, 24.67, 32
0, 25.74, 25.2, 32
0, 25.74, 30.32, 32
0, 26.26, 39.01, 32
0, 22.7, 25.46, 32
1, 25.48, 28.24, 32
1, 23.74, 26.24, 32
1, 38.78, 39.01, 32
1, 28.09, 23.02, 32
1, 26.09, 39.01, 32
1, 25.22, 26.59, 32
1, 23.65, 39.01, 32
1, 23.3, 25.72, 32
1, 26.17, 26.06, 32
1, 26.78, 24.5, 32
1, 27.04, 24.67, 32
1, 25.74, 25.2, 32
1, 25.74, 30.32, 32
1, 26.26, 39.01, 32
1, 22.7, 25.46, 32
2, 25.48, 28.24, 32
2, 23.74, 26.24, 32
2, 38.78, 39.01, 32
2, 28.09, 23.02, 32
2, 26.09, 39.01, 32
2, 25.22, 26.59, 32
2, 23.65, 39.01, 32
2, 23.3, 25.72, 32
2, 26.17, 26.06, 32
2, 26.78, 24.5, 32
2, 27.04, 24.67, 32
2, 25.74, 25.2, 32
2, 25.74, 30.32, 32
2, 26.26, 39.01, 32
2, 22.7, 25.46, 32
3, 25.48, 28.24, 32
3, 23.74, 26.24, 32
3, 38.78, 39.01, 32
3, 28.09, 23.02, 32
3, 26.09, 39.01, 32
3, 25.22, 26.59, 32
3, 23.65, 39.01, 32
3, 23.3, 25.72, 32
3, 26.17, 26.06, 32
3, 26.78, 24.5, 32
3, 27.04, 24.67, 32
3, 25.74, 25.2, 32
3, 25.74, 30.32, 32
3, 26.26, 39.01, 32
3, 22.7, 25.46, 32
4, 25.48, 28.24, 32
4, 23.74, 26.24, 32
4, 38.78, 39.01, 32
4, 28.09, 23.02, 32
4, 26.09, 39.01, 32
4, 25.22, 26.59, 32
4, 23.65, 39.01, 32
4, 23.3, 25.72, 32
4, 26.17, 26.06, 32
