Experiment, Validation, Test, Generations
0, 38.78, 39.01, 32
0, 38.78, 39.01, 32
0, 38.78, 39.01, 32
0, 38.78, 39.01, 32
0, 38.78, 39.01, 32
0, 28.35, 39.01, 32
0, 38.78, 39.01, 32
0, 38.78, 39.01, 32
0, 38.78, 39.01, 32
0, 38.78, 39.01, 32
0, 38.78, 39.01, 32
0, 38.78, 39.01, 32
0, 38.78, 39.01, 32
0, 26, 39.01, 32
0, 38.78, 39.01, 32
1, 38.61, 38.92, 32
1, 38.78, 38.92, 32
1, 38.78, 39.01, 32
1, 40, 38.66, 32
1, 38.61, 38.84, 32
1, 38.52, 38.66, 32
1, 38.78, 38.84, 32
1, 39.04, 38.66, 32
1, 40.17, 38.58, 32
1, 39.83, 38.66, 32
1, 38.78, 38.84, 32
1, 38.61, 38.58, 32
1, 38.78, 38.75, 32
1, 39.91, 38.58, 32
1, 38.61, 38.84, 32
2, 24.52, 26.41, 32
2, 27.39, 26.41, 32
2, 38.78, 28.41, 32
2, 25.3, 27.11, 32
2, 28.09, 26.76, 32
2, 27.57, 28.15, 32
2, 29.04, 26.5, 32
2, 24.09, 26.32, 32
2, 31.65, 25.2, 32
2, 28.52, 26.85, 32
2, 25.74, 26.15, 32
2, 28.26, 26.24, 32
2, 26.43, 29.19, 32
2, 24.7, 26.59, 32
2, 38.78, 26.15, 32
3, 21.65, 39.01, 32
3, 24.17, 39.01, 32
3, 22.78, 23.72, 32
3, 24, 31.71, 32
3, 25.22, 39.01, 32
3, 22.61, 39.44, 32
3, 38.78, 26.5, 32
3, 24.87, 27.11, 32
3, 22.52, 39.18, 32
3, 21.91, 39.01, 32
3, 26.61, 39.01, 32
3, 21.13, 39.01, 32
3, 38.96, 23.11, 32
3, 39.13, 24.85, 32
3, 38.78, 39.7, 32
4, 38.78, 39.01, 20
4, 38.78, 39.01, 20
4, 38.78, 39.01, 20
4, 38.78, 39.01, 20
4, 38.78, 39.01, 20
4, 38.78, 39.01, 20
4, 38.78, 39.01, 20
4, 38.78, 39.01, 20
4, 38.78, 39.01, 20
4, 38.78, 39.01, 20
4, 38.78, 39.01, 20
4, 38.78, 39.01, 20
4, 38.78, 39.01, 20
4, 38.78, 39.01, 20
4, 38.78, 39.01, 20
5, 22.35, 28.15, 32
5, 21.48, 21.55, 32
5, 29.3, 28.58, 32
5, 22.87, 25.28, 32
