Experiment, Validation, Test
0, 38.87, 37.71
0, 36.87, 39.01
0, 37.65, 37.45
0, 37.22, 36.84
0, 38.78, 37.71
0, 38.78, 37.1
0, 38.78, 37.79
0, 37.83, 37.97
0, 38.78, 38.23
0, 37.65, 37.71
0, 38.78, 39.01
0, 37.22, 35.53
0, 38.78, 37.71
0, 38.78, 39.01
0, 37.65, 39.01
0, 38.78, 37.45
1, 38.78, 39.1
1, 38.78, 25.63
1, 38.78, 39.01
1, 38.78, 39.01
1, 38.87, 26.32
1, 36.61, 38.75
1, 38.78, 37.36
1, 38.78, 38.92
1, 24.09, 27.11
1, 38.78, 39.01
1, 22.96, 39.01
1, 38.78, 38.92
1, 27.48, 39.01
1, 24.35, 39.01
1, 38.96, 39.01
1, 38.78, 39.01
2, 38.78, 39.01
2, 38.78, 39.01
2, 38.78, 39.01
2, 38.78, 39.01
2, 38.78, 39.01
2, 38.78, 39.01
2, 38.78, 39.01
2, 38.78, 39.01
2, 38.78, 39.01
2, 38.78, 39.01
2, 38.78, 39.01
2, 38.78, 39.01
2, 38.78, 39.01
2, 38.78, 39.01
2, 38.78, 39.01
2, 38.78, 39.01
3, 38.96, 31.8
3, 24.26, 39.01
3, 38.87, 28.24
3, 21.91, 30.84
3, 26.96, 24.85
3, 29.04, 39.1
3, 38, 39.1
3, 25.91, 44.31
3, 25.65, 27.54
3, 29.74, 39.18
3, 38.78, 29.97
3, 49.48, 25.63
3, 26.52, 27.19
3, 38.96, 25.37
3, 53.04, 31.71
3, 39.13, 26.85
4, 38.87, 39.1
4, 38.78, 39.01
4, 38.78, 39.01
4, 38.78, 39.01
4, 38.78, 39.01
4, 38.78, 39.01
4, 38.78, 26.93
4, 38.78, 39.01
4, 38.78, 39.01
4, 38.78, 39.01
4, 38.78, 39.01
4, 38.78, 25.28
4, 38.78, 39.01
4, 38.78, 39.01
4, 38.78, 39.01
4, 38.78, 33.88
5, 38.78, 38.92
5, 38.78, 39.01
5, 30.61, 28.32
5, 30.43, 25.02
5, 38.78, 30.23
5, 26.43, 27.19
5, 25.65, 39.01
5, 38.87, 32.84
5, 30.17, 24.85
5, 31.91, 39.01
5, 26.87, 24.76
5, 24.52, 24.59
5, 31.3, 25.2
5, 29.65, 24.67
5, 24.43, 25.11
5, 24.87, 29.45
6, 25.22, 38.84
6, 21.04, 29.54
6, 38.78, 36.14
6, 21.65, 28.5
6, 23.57, 39.01
6, 21.57, 25.37
6, 34.43, 29.45
6, 26, 22.94
6, 38.87, 24.67
6, 23.74, 24.07
6, 37.57, 24.85
6, 28.17, 26.06
6, 22.35, 22.59
6, 24.26, 22.5
6, 21.91, 31.54
6, 22.78, 28.32
7, 39.04, 39.01
7, 38.78, 39.01
7, 38.78, 39.01
7, 38.78, 39.01
7, 38.78, 39.01
7, 38.78, 39.01
7, 38.78, 39.01
7, 38.78, 39.01
7, 38.78, 39.01
7, 38.78, 39.01
7, 38.78, 39.01
7, 38.78, 39.01
7, 38.78, 39.01
7, 38.78, 39.01
7, 38.78, 39.01
7, 38.78, 39.01
8, 39.22, 38.92
8, 38.78, 39.01
8, 38.78, 39.01
8, 38.78, 39.01
8, 38.78, 39.01
8, 38.78, 39.01
8, 38.78, 39.01
8, 38.78, 39.01
8, 38.78, 39.01
8, 38.78, 39.01
8, 38.78, 39.01
8, 38.78, 39.01
8, 38.78, 39.01
8, 38.78, 39.01
8, 38.78, 39.01
8, 38.78, 39.01
9, 38.87, 39.01
9, 31.48, 23.46
9, 23.65, 28.32
9, 28.87, 24.24
9, 24.26, 25.46
9, 39.3, 26.76
9, 24.26, 39.01
9, 24.09, 23.54
9, 28.17, 23.2
9, 27.13, 23.54
9, 23.39, 39.27
9, 22.26, 27.89
9, 24.09, 39.27
9, 25.04, 27.54
9, 28.09, 25.54
9, 25.39, 24.85
10, 38.96, 38.92
10, 28.96, 39.01
10, 38.78, 39.1
10, 24.43, 39.01
10, 38.78, 25.2
10, 41.04, 37.1
10, 38.78, 39.01
10, 26.17, 39.01
10, 32.26, 39.01
10, 27.57, 39.01
10, 25.3, 24.41
10, 38.78, 39.01
10, 33.13, 29.11
10, 38.78, 39.01
10, 38.78, 27.19
10, 38.78, 39.01
11, 39.04, 39.01
11, 26.78, 39.1
11, 25.91, 30.76
11, 28.52, 39.01
11, 39.39, 39.1
11, 38.78, 26.24
11, 38.96, 39.1
11, 31.3, 39.1
11, 30.09, 28.06
11, 38.96, 39.01
11, 38.78, 39.01
11, 25.83, 39.01
11, 39.13, 26.76
11, 25.48, 39.01
11, 26.61, 39.01
11, 38.96, 39.01
12, 39.13, 38.92
12, 38.78, 39.01
12, 38.78, 39.01
12, 38.78, 39.01
12, 38.78, 39.01
12, 38.78, 39.01
12, 38.78, 39.01
12, 38.78, 39.01
12, 38.78, 39.01
12, 38.78, 39.01
12, 38.78, 39.01
12, 38.78, 39.01
12, 38.78, 39.01
12, 38.78, 39.01
12, 38.78, 39.01
12, 38.78, 39.01
13, 38.78, 39.01
13, 33.65, 23.2
13, 22.43, 22.5
13, 23.74, 27.89
13, 23.91, 20.59
13, 32.78, 33.45
13, 52.96, 31.89
13, 25.65, 27.54
13, 27.74, 33.8
13, 30, 21.81
13, 22.61, 23.63
13, 28.17, 39.01
13, 23.74, 25.28
13, 27.74, 25.8
13, 31.13, 22.07
13, 25.04, 28.24
14, 39.39, 39.27
14, 38.78, 39.01
14, 38.78, 39.01
14, 38.78, 39.01
14, 38.78, 39.01
14, 38.78, 39.01
14, 38.78, 39.01
14, 38.78, 39.01
14, 38.78, 39.01
14, 38.78, 39.01
14, 38.78, 39.01
14, 38.78, 39.01
14, 38.78, 39.01
14, 38.78, 39.01
14, 38.78, 39.01
14, 38.78, 39.01
