Experiment, Average-F2, Max-F2, Average-Acc, Min-Acc 
0, 0.05871, 0.78210, 39.54, 26.52
1, 0.04764, 0.79595, 39.03, 27.39
2, 0.05468, 0.77714, 38.39, 23.04
3, 0.05299, 0.75878, 37.86, 23.65
4, 0.05409, 0.79673, 38.86, 28.87
5, 0.04599, 0.76377, 38.04, 22.43
6, 0.04635, 0.74703, 38.04, 23.22
7, 0.06755, 0.80017, 37.59, 22.61
8, 0.06284, 0.77723, 37.77, 22.87
9, 0.09118, 0.78748, 37.29, 22.78
10, 0.08008, 0.81242, 37.51, 23.74
11, 0.11213, 0.79952, 37.07, 22.96
12, 0.10165, 0.79967, 37.20, 22.52
13, 0.12097, 0.79014, 37.09, 23.65
14, 0.15324, 0.81415, 36.70, 23.13
15, 0.17523, 0.81330, 36.23, 22.61
16, 0.18634, 0.81098, 35.81, 22.78
17, 0.26299, 0.80457, 34.74, 21.65
18, 0.28493, 0.80393, 34.42, 22.96
19, 0.32068, 0.82099, 33.63, 21.65
20, 0.36373, 0.80909, 33.30, 21.22
21, 0.39684, 0.83162, 32.10, 20.35
22, 0.44260, 0.84674, 31.41, 21.04
23, 0.41404, 0.81583, 32.22, 20.78
24, 0.36494, 0.82183, 32.74, 23.57
25, 0.41928, 0.82396, 32.37, 20.78
26, 0.48027, 0.81316, 31.17, 21.91
27, 0.39950, 0.83333, 31.82, 21.57
28, 0.36848, 0.80975, 32.14, 21.65
29, 0.42059, 0.80451, 30.95, 21.74
30, 0.42563, 0.80599, 31.22, 22.61
31, 0.42373, 0.81807, 31.39, 22.87
0, 0.05871, 0.78210, 39.54, 26.52
1, 0.04764, 0.79595, 39.03, 27.39
2, 0.05468, 0.77714, 38.39, 23.04
3, 0.05299, 0.75878, 37.86, 23.65
4, 0.05409, 0.79673, 38.86, 28.87
5, 0.04599, 0.76377, 38.04, 22.43
6, 0.04635, 0.74703, 38.04, 23.22
7, 0.06755, 0.80017, 37.59, 22.61
8, 0.06284, 0.77723, 37.77, 22.87
9, 0.09118, 0.78748, 37.29, 22.78
10, 0.08008, 0.81242, 37.51, 23.74
11, 0.11213, 0.79952, 37.07, 22.96
12, 0.10165, 0.79967, 37.20, 22.52
13, 0.12097, 0.79014, 37.09, 23.65
14, 0.15324, 0.81415, 36.70, 23.13
15, 0.17523, 0.81330, 36.23, 22.61
16, 0.18634, 0.81098, 35.81, 22.78
17, 0.26299, 0.80457, 34.74, 21.65
