Experiment, Validation, Test, Generations
1, 25.65, 30.41, 32
1, 28.17, 27.11, 32
1, 25.39, 25.89, 32
1, 26.43, 26.06, 32
1, 26.43, 39.01, 32
1, 26.26, 26.5, 32
1, 25.57, 26.32, 32
1, 25.57, 26.76, 32
1, 26.96, 30.5, 32
1, 24.96, 26.85, 32
1, 27.13, 29.8, 32
1, 26, 25.54, 32
1, 25.22, 28.67, 32
1, 25.57, 26.5, 32
1, 25.65, 26.06, 32
3, 38.78, 39.01, 32
3, 38.78, 39.01, 32
3, 38.78, 39.01, 32
3, 38.78, 39.01, 32
3, 38.78, 39.01, 32
3, 38.78, 39.01, 32
3, 38.78, 39.01, 32
3, 38.78, 39.01, 32
3, 38.78, 39.01, 32
3, 38.78, 39.01, 32
3, 38.78, 39.01, 32
3, 38.78, 39.01, 32
3, 38.78, 39.01, 32
3, 38.78, 39.01, 32
3, 38.78, 39.01, 32
5, 22.78, 23.46, 32
5, 22.43, 22.33, 32
5, 23.48, 26.67, 32
5, 22.96, 25.63, 32
5, 24.7, 27.28, 32
5, 26, 24.33, 32
5, 26.09, 26.32, 32
5, 22.26, 35.19, 32
5, 22.26, 27.8, 32
5, 31.3, 23.72, 32
5, 32.35, 26.5, 32
5, 29.57, 22.94, 32
5, 25.22, 22.42, 32
5, 20.78, 24.67, 32
5, 23.57, 23.2, 32
7, 38.78, 39.01, 30
7, 38.78, 39.01, 30
7, 38.78, 39.01, 30
7, 38.87, 39.01, 30
7, 38.78, 39.01, 30
7, 38.78, 39.01, 30
7, 38.78, 39.01, 30
7, 38.78, 39.01, 30
7, 38.78, 39.01, 30
7, 38.78, 39.01, 30
7, 38.78, 39.01, 30
7, 38.78, 39.01, 30
7, 38.78, 39.01, 30
7, 38.87, 39.01, 30
7, 38.78, 39.01, 30
9, 38.78, 28.32, 32
9, 34.96, 39.01, 32
9, 39.39, 27.02, 32
9, 38.78, 39.01, 32
9, 38.78, 27.37, 32
9, 39.83, 39.01, 32
9, 43.83, 39.01, 32
9, 38.78, 26.67, 32
9, 28.35, 36.66, 32
9, 27.13, 49, 32
9, 27.22, 43.53, 32
9, 42.17, 39.01, 32
9, 51.65, 39.01, 32
9, 27.04, 39.01, 32
9, 35.04, 35.71, 32
11, 25.91, 25.46, 20
11, 29.65, 28.84, 20
11, 25.22, 26.85, 20
11, 28.26, 26.59, 20
11, 25.48, 25.98, 20
11, 24, 25.72, 20
11, 27.91, 25.63, 20
11, 25.74, 25.63, 20
11, 25.04, 26.15, 20
11, 25.48, 26.15, 20
11, 25.83, 27.89, 20
11, 25.39, 28.5, 20
11, 25.48, 25.72, 20
11, 25.48, 25.8, 20
11, 25.65, 27.8, 20
13, 20.78, 24.76, 32
13, 25.3, 22.94, 32
13, 27.04, 22.5, 32
13, 21.74, 26.5, 32
13, 23.57, 39.01, 32
13, 21.57, 24.76, 32
13, 22.87, 39.01, 32
13, 29.57, 25.89, 32
13, 31.22, 32.32, 32
13, 24.7, 24.41, 32
13, 28.17, 22.94, 32
13, 28, 30.23, 32
13, 24.09, 27.72, 32
13, 28.26, 21.72, 32
13, 38.78, 29.45, 32
15, 25.39, 27.63, 32
15, 25.04, 25.63, 32
15, 26.17, 25.46, 32
15, 25.3, 25.89, 32
15, 25.91, 26.41, 32
15, 25.13, 26.24, 32
15, 25.83, 27.37, 32
15, 26.96, 26.76, 32
15, 24.35, 26.06, 32
15, 28.61, 29.28, 32
15, 26.35, 27.19, 32
15, 25.65, 26.76, 32
15, 27.83, 25.98, 32
15, 24.61, 25.63, 32
15, 27.13, 25.37, 32
17, 26.26, 25.63, 32
17, 25.83, 25.8, 32
17, 24.61, 28.93, 32
17, 25.3, 28.24, 32
17, 24.96, 25.89, 32
17, 28.96, 26.24, 32
17, 25.3, 27.02, 32
17, 27.48, 26.85, 32
17, 26.26, 27.54, 32
17, 25.83, 25.54, 32
17, 29.57, 26.5, 32
17, 25.65, 25.63, 32
17, 27.83, 25.63, 32
17, 25.22, 26.67, 32
17, 25.48, 26.76, 32
19, 33.04, 26.67, 32
19, 22.26, 26.06, 32
19, 23.48, 24.33, 32
19, 26.35, 27.54, 32
19, 29.57, 24.59, 32
19, 20.35, 24.15, 32
19, 22, 25.98, 32
19, 24.52, 25.46, 32
19, 21.39, 23.54, 32
19, 21.83, 24.93, 32
19, 21.91, 39.01, 32
19, 38.78, 26.67, 32
19, 22.7, 25.37, 32
19, 22.26, 22.5, 32
19, 38.78, 27.37, 32
21, 28.87, 28.24, 32
21, 31.22, 27.37, 32
21, 28.43, 28.58, 32
21, 25.13, 39.01, 32
21, 38.78, 25.8, 32
21, 27.39, 27.02, 32
