Experiment, Validation, Test, Generations
1, 24.7, 36.49, 32
1, 42, 36.4, 32
1, 22.09, 24.85, 32
1, 22.52, 26.5, 32
1, 41.74, 36.4, 32
1, 27.04, 36.4, 32
1, 42, 36.4, 32
1, 33.22, 24.15, 32
1, 42, 36.4, 32
1, 24.78, 21.63, 32
1, 42, 36.4, 32
1, 20.52, 36.4, 32
1, 41.91, 26.5, 32
1, 27.83, 33.19, 32
1, 23.83, 36.4, 32
3, 26.78, 22.5, 32
3, 20.96, 36.4, 32
3, 42, 25.98, 32
3, 24.52, 25.63, 32
3, 26.43, 16.42, 32
3, 27.04, 25.63, 32
3, 42, 23.81, 32
3, 24.78, 26.06, 32
3, 42, 25.54, 32
3, 24.52, 25.98, 32
3, 42, 37.19, 32
3, 21.83, 21.55, 32
3, 27.22, 33.01, 32
3, 26.87, 36.4, 32
3, 24.43, 28.32, 32
5, 41.83, 36.4, 32
5, 41.91, 36.66, 32
5, 41.39, 36.75, 32
5, 41.91, 36.58, 32
5, 41.83, 36.58, 32
5, 42.17, 36.49, 32
5, 41.91, 36.49, 32
5, 41.39, 36.66, 32
5, 42, 36.58, 32
5, 41.39, 36.58, 32
5, 41.74, 36.66, 32
5, 41.91, 36.4, 32
5, 42, 36.49, 32
5, 42.17, 36.58, 32
5, 42, 36.49, 32
7, 42, 36.4, 32
7, 42, 36.4, 32
7, 42, 36.4, 32
7, 42, 36.4, 32
7, 42, 36.4, 32
7, 42, 36.4, 32
7, 42, 36.4, 32
7, 42, 36.4, 32
7, 42, 36.4, 32
7, 42, 30.58, 32
7, 42, 36.4, 32
7, 42, 36.4, 32
7, 42, 36.4, 32
7, 42, 36.4, 32
7, 42, 36.4, 32
9, 41.39, 36.32, 32
9, 41.91, 36.49, 32
9, 41.39, 36.49, 32
9, 41.22, 36.14, 32
9, 41.22, 36.4, 32
9, 41.83, 36.32, 32
9, 41.83, 36.4, 32
9, 41.39, 36.4, 32
9, 41.39, 36.75, 32
9, 41.74, 36.49, 32
9, 42, 36.49, 32
9, 41.39, 36.14, 32
9, 41.3, 36.14, 32
9, 41.74, 36.14, 32
9, 41.65, 36.23, 32
11, 24.26, 23.81, 32
11, 42.09, 36.4, 32
11, 25.13, 51.17, 32
11, 23.3, 23.89, 32
11, 22.52, 36.4, 32
11, 42.17, 32.32, 32
11, 25.39, 36.49, 32
11, 24.43, 33.28, 32
11, 24.87, 24.93, 32
11, 23.83, 22.94, 32
11, 22.96, 36.4, 32
11, 43.91, 22.68, 32
11, 22, 25.28, 32
11, 25.91, 22.24, 32
11, 41.91, 32.32, 32
13, 41.74, 36.4, 32
13, 41.65, 36.32, 32
13, 41.74, 36.49, 32
13, 41.39, 36.4, 32
13, 41.48, 36.4, 32
13, 41.39, 36.4, 32
13, 41.39, 36.4, 32
13, 41.83, 36.32, 32
13, 41.39, 36.4, 32
13, 41.74, 36.32, 32
13, 41.74, 36.32, 32
13, 41.83, 36.32, 32
13, 41.74, 36.4, 32
13, 41.74, 36.32, 32
13, 42, 36.32, 32
15, 41.57, 36.49, 32
15, 41.22, 36.23, 32
15, 41.39, 36.32, 32
15, 41.74, 36.23, 32
15, 41.48, 36.23, 32
15, 41.22, 36.32, 32
15, 41.3, 36.23, 32
15, 41.3, 36.23, 32
15, 41.22, 36.23, 32
15, 41.3, 36.66, 32
15, 41.91, 36.32, 32
15, 41.48, 36.49, 32
15, 41.39, 36.66, 32
15, 41.39, 36.58, 32
15, 41.74, 36.4, 32
17, 41.48, 36.4, 32
17, 41.39, 36.4, 32
17, 41.39, 36.23, 32
17, 41.39, 36.32, 32
17, 41.39, 36.23, 32
17, 41.39, 36.23, 32
17, 41.3, 36.23, 32
17, 41.3, 36.32, 32
17, 41.39, 36.32, 32
17, 41.39, 36.23, 32
17, 41.39, 36.32, 32
17, 41.3, 36.32, 32
17, 41.3, 36.23, 32
17, 41.39, 36.32, 32
17, 41.39, 36.23, 32
19, 28.52, 27.37, 32
19, 27.48, 36.4, 32
19, 42, 27.72, 32
19, 30, 25.89, 32
19, 28.52, 36.4, 32
19, 42, 36.4, 32
19, 42, 36.4, 32
19, 42, 26.85, 32
19, 32.87, 25.72, 32
19, 30.78, 36.4, 32
19, 30.87, 27.37, 32
19, 42, 36.4, 32
19, 28.26, 30.84, 32
19, 35.13, 33.54, 32
19, 28, 30.67, 32
21, 42.09, 36.4, 32
21, 42, 29.45, 32
21, 42, 36.4, 32
21, 42, 36.49, 32
21, 26.17, 36.32, 32
21, 42, 36.4, 32
21, 42, 36.49, 32
21, 42, 36.32, 32
21, 42.17, 36.4, 32
21, 42, 36.4, 32
21, 42, 36.49, 32
21, 42.35, 36.4, 32
21, 42, 36.4, 32
21, 42.17, 36.32, 32
21, 42, 36.4, 32
23, 28.52, 36.4, 32
23, 42, 23.54, 32
23, 28.35, 25.37, 32
23, 42, 25.72, 32
23, 29.3, 25.2, 32
23, 30.43, 26.15, 32
23, 42, 36.4, 32
23, 27.22, 24.24, 32
23, 27.57, 25.02, 32
23, 27.48, 25.2, 32
23, 42, 24.76, 32
23, 30, 25.54, 32
23, 27.22, 25.98, 32
23, 29.39, 35.27, 32
23, 35.74, 25.54, 32
25, 26.7, 36.4, 32
25, 37.91, 36.4, 32
25, 42, 36.4, 32
25, 42, 23.98, 32
25, 26.96, 36.4, 32
25, 42, 36.4, 32
25, 28.78, 25.89, 32
25, 42, 36.4, 32
25, 29.22, 36.4, 32
25, 42, 26.85, 32
25, 42, 36.4, 32
25, 42, 23.89, 32
25, 42, 36.84, 32
25, 24.7, 25.98, 32
25, 42, 36.4, 32
27, 27.22, 36.4, 32
27, 42, 25.8, 32
27, 27.13, 26.15, 32
27, 28.43, 25.8, 32
27, 27.65, 25.98, 32
27, 27.3, 26.24, 32
27, 27.3, 26.24, 32
27, 28, 26.06, 32
27, 27.3, 25.46, 32
27, 35.74, 27.8, 32
27, 28.52, 25.46, 32
27, 28.7, 25.72, 32
27, 30.78, 31.54, 32
27, 33.22, 26.5, 32
27, 42, 25.72, 32
29, 40.61, 36.14, 32
29, 41.13, 35.88, 32
29, 40.26, 35.79, 32
29, 45.3, 35.62, 32
29, 39.57, 38.05, 32
29, 41.48, 35.45, 32
29, 40.43, 36.32, 32
29, 40.43, 36.14, 32
29, 37.3, 36.4, 32
29, 38.96, 35.27, 32
29, 40.87, 36.32, 32
29, 39.3, 35.97, 32
29, 41.39, 35.71, 32
29, 36.87, 36.4, 32
29, 41.83, 35.1, 32
