Experiment, Validation, Test, Generations
0, 38.52, 39.53, 32
0, 27.48, 26.93, 32
0, 26.26, 27.19, 32
0, 25.13, 24.41, 32
0, 38.43, 39.44, 32
0, 26.87, 39.44, 32
0, 28.35, 28.15, 32
0, 28.78, 27.89, 32
0, 27.74, 28.76, 32
0, 25.48, 29.45, 32
0, 28, 29.28, 32
0, 26.26, 25.11, 32
0, 28.09, 39.44, 32
0, 37.39, 39.53, 32
0, 27.3, 33.1, 32
0, 38.43, 29.19, 32
1, 38.52, 39.53, 32
1, 38.35, 28.76, 32
1, 38.35, 28.32, 32
1, 25.3, 32.41, 32
1, 27.3, 39.44, 32
1, 25.65, 28.76, 32
1, 30.17, 29.37, 32
1, 26.26, 39.44, 32
1, 26.78, 39.44, 32
1, 29.91, 28.5, 32
1, 27.04, 29.11, 32
1, 38.43, 39.44, 32
1, 25.74, 27.98, 32
1, 27.22, 28.76, 32
1, 26.17, 27.8, 32
1, 26.09, 39.44, 32
2, 38.52, 39.36, 32
2, 23.48, 26.85, 32
2, 28.09, 22.85, 32
2, 18.96, 21.37, 32
2, 19.57, 21.81, 32
2, 21.57, 22.24, 32
2, 28.61, 24.5, 32
2, 23.57, 20.42, 32
2, 22.26, 28.32, 32
2, 23.39, 19.98, 32
2, 26.7, 28.15, 32
2, 18.78, 23.02, 32
2, 22.26, 23.11, 32
2, 19.48, 24.5, 32
2, 19.39, 20.85, 32
2, 20.17, 22.94, 32
3, 38.43, 39.44, 32
3, 38.52, 38.92, 32
3, 38.52, 39.62, 32
3, 37.39, 37.71, 32
3, 34.87, 39.44, 32
3, 38.17, 39.7, 32
3, 36.61, 38.58, 32
3, 36.61, 36.49, 32
3, 35.83, 36.75, 32
3, 38, 39.62, 32
3, 38.26, 39.36, 32
3, 38.17, 36.75, 32
3, 38.17, 37.79, 32
3, 35.04, 39.62, 32
3, 34.61, 39.53, 32
3, 37.22, 39.53, 32
4, 38.43, 36.49, 32
4, 36.09, 36.49, 32
4, 38.43, 40.66, 32
4, 38.43, 36.06, 32
4, 36.26, 39.44, 32
4, 36.17, 39.62, 32
4, 38.43, 37.1, 32
4, 42.52, 37.71, 32
4, 34.52, 37.1, 32
4, 38.43, 37.01, 32
4, 38.35, 35.97, 32
4, 36.35, 36.4, 32
4, 38.43, 36.66, 32
4, 36.17, 39.79, 32
4, 38.43, 39.7, 32
4, 38.35, 39.62, 32
5, 38.52, 39.27, 32
5, 23.74, 23.28, 32
5, 25.13, 26.41, 32
5, 25.48, 26.67, 32
5, 25.04, 22.07, 32
5, 26.7, 39.44, 32
5, 23.39, 25.46, 32
5, 21.22, 23.63, 32
5, 23.83, 25.37, 32
5, 38.52, 26.06, 32
5, 22.78, 39.44, 32
5, 23.22, 25.72, 32
5, 26.26, 23.72, 32
5, 28.78, 39.44, 32
5, 22.61, 39.44, 32
5, 38.43, 22.07, 32
6, 38.52, 39.7, 32
6, 23.22, 22.33, 32
6, 20.09, 23.81, 32
6, 20.52, 38.05, 32
6, 20.35, 22.68, 32
6, 21.65, 22.85, 32
6, 26.43, 24.07, 32
6, 19.91, 23.89, 32
6, 21.39, 23.37, 32
6, 20.26, 23.2, 32
6, 19.65, 32.75, 32
6, 24.61, 27.63, 32
6, 20.09, 25.72, 32
6, 22.52, 22.24, 32
6, 20.61, 29.02, 32
6, 20.09, 28.93, 32
7, 38.7, 39.79, 32
7, 31.65, 31.1, 32
7, 26.09, 28.58, 32
7, 38.43, 28.24, 32
7, 29.39, 25.98, 32
7, 29.48, 29.02, 32
7, 23.04, 25.72, 32
7, 22.26, 24.67, 32
7, 23.04, 31.62, 32
7, 29.13, 23.2, 32
7, 28.7, 26.85, 32
7, 22.7, 26.41, 32
7, 30.52, 24.24, 32
7, 22.17, 23.72, 32
7, 29.13, 24.93, 32
7, 29.3, 24.33, 32
