Experiment, Validation, Test, Generations
1, 38.52, 39.53, 32
1, 38.52, 26.41, 32
1, 22.43, 30.67, 32
1, 25.3, 28.32, 32
1, 27.91, 39.79, 32
1, 28.43, 26.93, 32
1, 24.35, 25.02, 32
1, 38.35, 30.15, 32
1, 24, 26.06, 32
1, 22, 23.46, 32
1, 22.78, 24.67, 32
1, 27.22, 25.2, 32
1, 24.52, 31.62, 32
1, 27.91, 39.44, 32
1, 24.35, 25.2, 32
1, 32.26, 30.76, 32
3, 38.43, 39.44, 32
3, 30, 25.8, 32
3, 32.61, 24.76, 32
3, 36.17, 39.27, 32
3, 34.78, 39.44, 32
3, 33.39, 23.54, 32
3, 24.43, 34.93, 32
3, 38.43, 31.45, 32
3, 38.61, 34.93, 32
3, 31.04, 32.75, 32
3, 24.61, 36.92, 32
3, 35.57, 34.75, 32
3, 37.83, 33.36, 32
3, 33.22, 33.97, 32
3, 33.39, 39.44, 32
3, 34.7, 39.44, 32
5, 38.43, 39.36, 32
5, 38.43, 24.76, 32
5, 23.57, 25.54, 32
5, 38.43, 26.15, 32
5, 26, 25.2, 32
5, 23.57, 24.76, 32
5, 24.09, 28.15, 32
5, 25.74, 33.97, 32
5, 27.65, 25.11, 32
5, 38.43, 39.44, 32
5, 30.52, 36.84, 32
5, 23.91, 28.5, 32
5, 38.43, 30.5, 32
5, 38.43, 26.76, 32
5, 24.96, 31.97, 32
5, 27.48, 28.93, 32
7, 38.61, 39.53, 32
7, 35.91, 39.44, 32
7, 36.09, 38.84, 32
7, 36.09, 38.75, 32
7, 34.26, 37.1, 32
7, 36.43, 36.92, 32
7, 34.87, 36.92, 32
7, 38.09, 38.05, 32
7, 35.22, 36.92, 32
7, 36.09, 39.1, 32
7, 36.35, 37.1, 32
7, 34.87, 36.23, 32
7, 38.17, 36.4, 32
7, 37.3, 37.79, 32
7, 35.83, 38.66, 32
7, 37.39, 39.44, 32
9, 38.43, 39.44, 32
9, 34.96, 37.27, 32
9, 35.83, 36.92, 32
9, 34.87, 35.19, 32
9, 34.78, 35.79, 32
9, 36, 36.49, 32
9, 34.09, 37.19, 32
9, 33.13, 36.4, 32
9, 34.7, 39.18, 32
9, 32.35, 36.49, 32
9, 37.48, 35.79, 32
9, 36.96, 36.66, 32
9, 36.17, 36.06, 32
9, 33.13, 39.62, 32
9, 36.09, 39.62, 32
9, 37.65, 35.19, 32
11, 38.61, 39.36, 32
11, 23.74, 23.98, 32
11, 24.26, 23.81, 32
11, 23.65, 24.59, 32
11, 23.04, 25.72, 32
11, 23.22, 25.28, 32
11, 23.91, 23.63, 32
11, 24.43, 25.28, 32
11, 23.65, 26.76, 32
11, 28.35, 24.33, 32
11, 23.91, 27.11, 32
11, 23.65, 25.54, 32
11, 24.35, 26.32, 32
11, 21.74, 23.89, 32
11, 23.39, 23.72, 32
11, 23.91, 27.11, 32
13, 38.43, 39.44, 32
13, 35.04, 37.97, 32
13, 35.22, 36.23, 32
13, 30, 35.36, 32
13, 37.04, 36.4, 32
13, 29.57, 30.93, 32
13, 34.61, 36.4, 32
13, 31.91, 38.14, 32
13, 28.87, 32.41, 32
13, 38.52, 30.76, 32
13, 35.22, 37.01, 32
13, 32.26, 35.45, 32
13, 31.83, 36.23, 32
13, 34.96, 39.18, 32
13, 30.7, 35.62, 32
13, 35.65, 36.4, 32
15, 38.7, 39.53, 32
15, 25.3, 27.28, 32
15, 35.57, 27.45, 32
15, 26.96, 27.89, 32
15, 24.7, 28.67, 32
15, 26.78, 28.32, 32
15, 38.43, 27.89, 32
15, 25.13, 29.19, 32
15, 28.35, 28.24, 32
15, 28.35, 28.67, 32
15, 25.83, 27.72, 32
15, 38.43, 27.54, 32
15, 25.48, 27.8, 32
15, 25.39, 32.41, 32
15, 25.3, 33.28, 32
15, 25.04, 28.32, 32
17, 38.26, 34.4, 32
17, 25.83, 26.15, 32
17, 24.61, 26.24, 32
17, 23.91, 28.58, 32
17, 24.43, 28.24, 32
17, 29.65, 25.98, 32
17, 24, 31.97, 32
17, 24.61, 26.67, 32
17, 24.61, 24.76, 32
17, 22.43, 35.27, 32
17, 27.83, 25.89, 32
17, 22.87, 23.72, 32
17, 26.96, 26.24, 32
17, 26.09, 26.76, 32
17, 27.83, 29.11, 32
17, 25.83, 27.72, 32
19, 38.7, 39.62, 32
19, 34.96, 35.27, 32
19, 35.57, 35.45, 32
19, 37.74, 36.84, 32
19, 33.57, 36.32, 32
19, 37.3, 36.49, 32
