Experiment, Validation, Test, Generations
0, 41.3, 36.14, 32
0, 41.3, 36.66, 32
0, 41.3, 36.14, 32
0, 41.91, 36.23, 32
0, 41.39, 36.14, 32
0, 41.3, 36.14, 32
0, 41.22, 36.4, 32
0, 41.22, 36.66, 32
0, 41.91, 36.49, 32
0, 41.22, 36.23, 32
0, 41.3, 36.49, 32
0, 41.3, 36.4, 32
0, 41.83, 36.32, 32
0, 42, 36.23, 32
0, 41.83, 36.23, 32
1, 30.26, 28.93, 32
1, 26.78, 33.01, 32
1, 29.13, 26.15, 32
1, 29.65, 25.98, 32
1, 41.83, 25.28, 32
1, 26.96, 25.37, 32
1, 42, 26.32, 32
1, 26.96, 26.32, 32
1, 34.35, 25.54, 32
1, 28.26, 27.19, 32
1, 28.26, 27.8, 32
1, 28.96, 60.64, 32
1, 28.87, 28.24, 32
1, 27.48, 36.4, 32
1, 29.39, 27.45, 32
2, 41.91, 36.49, 32
2, 42, 28.06, 32
2, 42.09, 36.4, 32
2, 56, 27.28, 32
2, 40.78, 27.19, 32
2, 40.78, 36.4, 32
2, 42, 36.4, 32
2, 28.09, 36.66, 32
2, 42, 36.4, 32
2, 33.39, 36.4, 32
2, 40.96, 24.41, 32
2, 41.91, 37.19, 32
2, 47.04, 36.4, 32
2, 42, 36.49, 32
2, 42, 36.4, 32
3, 28.52, 25.8, 32
3, 33.3, 36.4, 32
3, 27.04, 26.32, 32
3, 30.87, 36.4, 32
3, 33.74, 26.32, 32
3, 30.09, 26.15, 32
3, 30.87, 25.72, 32
3, 27.91, 36.4, 32
3, 30.43, 25.63, 32
3, 27.39, 27.28, 32
3, 27.3, 25.98, 32
3, 27.74, 25.8, 32
3, 34.09, 26.67, 32
3, 27.3, 26.5, 32
3, 28.96, 26.5, 32
4, 42, 27.19, 32
4, 29.48, 26.93, 32
4, 32.78, 26.67, 32
4, 27.65, 28.67, 32
4, 29.22, 26.76, 32
4, 30.43, 36.49, 32
4, 42, 36.49, 32
4, 28.09, 26.06, 32
4, 29.91, 26.15, 32
4, 30.43, 27.54, 32
4, 34.09, 26.76, 32
4, 41.91, 36.49, 32
4, 42, 26.93, 32
4, 30.61, 25.98, 32
4, 38.43, 36.49, 32
5, 31.48, 36.4, 32
5, 26.52, 29.45, 32
5, 30.43, 25.89, 32
5, 26.78, 27.37, 32
5, 26.52, 30.15, 32
5, 32.52, 32.32, 32
5, 26.52, 27.98, 32
5, 33.74, 36.4, 32
