Experiment, Validation, Test, Generations
0, 34.96, 39.44, 32
0, 38.52, 39.79, 32
0, 38.52, 38.05, 32
0, 36.09, 39.53, 32
0, 38.52, 39.7, 32
0, 38.7, 38.84, 32
0, 38.52, 39.7, 32
0, 38.7, 37.79, 32
0, 36.87, 38.31, 32
0, 38.52, 39.62, 32
0, 38.61, 38.14, 32
0, 61.57, 40.05, 32
0, 35.13, 37.71, 32
0, 38.35, 39.7, 32
0, 38.52, 39.53, 32
0, 38.52, 39.53, 32
1, 38.52, 39.44, 32
1, 18.43, 31.97, 32
1, 38.43, 24.15, 32
1, 21.22, 39.44, 32
1, 26.52, 24.5, 32
1, 18.35, 23.89, 32
1, 22.52, 31.28, 32
1, 26.17, 39.44, 32
1, 19.04, 27.37, 32
1, 29.13, 22.94, 32
1, 38.43, 25.72, 32
1, 38.43, 21.29, 32
1, 38.43, 21.63, 32
1, 18.7, 26.32, 32
1, 26.26, 39.44, 32
1, 20.96, 29.71, 32
2, 38.26, 39.44, 32
2, 38.7, 39.44, 32
2, 35.22, 38.14, 32
2, 35.57, 39.44, 32
2, 36.17, 38.4, 32
2, 36, 36.32, 32
2, 35.04, 36.32, 32
2, 35.13, 39.44, 32
2, 38.43, 39.44, 32
2, 38.78, 39.53, 32
2, 36.52, 39.36, 32
2, 35.57, 39.62, 32
2, 35.13, 36.58, 32
2, 38.43, 39.44, 32
2, 37.04, 39.44, 32
2, 38.43, 37.01, 32
3, 38.7, 39.44, 32
3, 36.17, 35.62, 32
3, 38.43, 39.01, 32
3, 31.39, 37.53, 32
3, 38.43, 37.71, 32
3, 38.43, 38.14, 32
3, 36.43, 38.92, 32
3, 36.35, 37.27, 32
3, 36.43, 31.28, 32
3, 36, 39.44, 32
3, 38.52, 38.84, 32
3, 38.43, 37.19, 32
3, 36.52, 37.27, 32
3, 37.13, 37.53, 32
3, 36, 37.97, 32
3, 36.52, 37.79, 32
4, 38.52, 39.53, 32
4, 36.52, 39.44, 32
4, 38.43, 29.37, 32
4, 38.43, 39.44, 32
4, 38.43, 39.44, 32
4, 38.43, 39.44, 32
4, 36.87, 38.31, 32
4, 38.43, 39.44, 32
4, 38.43, 25.28, 32
4, 38.43, 39.44, 32
4, 38.43, 30.93, 32
4, 38.43, 28.76, 32
4, 38.43, 37.97, 32
4, 38.43, 40.14, 32
4, 38.43, 39.44, 32
4, 27.3, 37.62, 32
5, 36.87, 40.05, 32
5, 30.35, 39.44, 32
5, 27.65, 29.02, 32
5, 26.96, 29.71, 32
5, 37.83, 30.32, 32
5, 38.43, 28.93, 32
5, 25.91, 28.76, 32
5, 25.83, 28.93, 32
5, 28.52, 29.28, 32
5, 29.13, 29.11, 32
5, 26.87, 28.24, 32
5, 31.13, 32.32, 32
5, 26.09, 28.15, 32
5, 29.3, 33.45, 32
5, 27.04, 28.93, 32
5, 34.87, 39.7, 32
6, 38.35, 39.53, 32
6, 30.87, 39.44, 32
6, 25.91, 25.2, 32
6, 38.43, 23.28, 32
6, 33.74, 28.67, 32
6, 23.13, 29.45, 32
6, 21.65, 26.5, 32
6, 21.65, 26.32, 32
6, 22.87, 25.98, 32
6, 20.61, 29.28, 32
6, 21.65, 39.44, 32
6, 21.57, 23.98, 32
6, 38.43, 25.63, 32
6, 24.52, 30.5, 32
6, 25.83, 25.63, 32
6, 24.17, 22.68, 32
7, 38.35, 38.66, 32
7, 36.61, 39.18, 32
7, 37.65, 39.1, 32
7, 37.65, 39.1, 32
7, 37.65, 36.06, 32
7, 37.65, 36.75, 32
7, 36.09, 37.88, 32
7, 38.43, 38.84, 32
7, 37.83, 39.1, 32
7, 37.65, 37.53, 32
7, 35.91, 38.92, 32
7, 37.74, 36.49, 32
7, 37.83, 38.23, 32
7, 36.35, 38.4, 32
7, 38.43, 39.36, 32
7, 37.83, 39.01, 32
8, 38.52, 39.53, 32
8, 27.74, 30.41, 32
8, 38.43, 22.42, 32
8, 23.74, 39.44, 32
8, 23.3, 39.44, 32
8, 25.04, 24.93, 32
8, 39.48, 39.44, 32
8, 38.43, 27.63, 32
8, 29.65, 26.06, 32
8, 27.57, 39.44, 32
8, 25.3, 31.89, 32
8, 29.39, 39.44, 32
8, 29.22, 29.63, 32
8, 21.39, 39.44, 32
