Experiment, Validation, Test, Generations
0, 42.09, 36.23, 32
0, 40.87, 36.4, 32
0, 24.17, 28.5, 32
0, 25.13, 24.24, 32
0, 42, 23.89, 32
0, 42, 36.4, 32
0, 24.96, 26.93, 32
0, 21.91, 31.45, 32
0, 25.3, 36.66, 32
0, 28.87, 36.4, 32
0, 27.83, 30.5, 32
0, 28, 36.4, 32
0, 27.3, 26.24, 32
0, 38.17, 26.93, 32
0, 27.48, 23.02, 32
0, 33.83, 25.11, 32
1, 42, 26.41, 32
1, 25.83, 36.4, 32
1, 42, 26.59, 32
1, 29.65, 24.85, 32
1, 26.17, 26.76, 32
1, 28.17, 27.98, 32
1, 42, 25.02, 32
1, 28.17, 36.4, 32
1, 24.7, 24.5, 32
1, 25.83, 25.28, 32
1, 25.74, 25.11, 32
1, 28.7, 25.54, 32
1, 42, 36.4, 32
1, 26, 24.24, 32
1, 26, 36.4, 32
1, 28.61, 25.28, 32
2, 41.83, 36.49, 32
2, 42, 28.76, 32
2, 25.83, 36.4, 32
2, 42, 36.4, 32
2, 28.26, 36.4, 32
2, 42, 36.4, 32
2, 42, 36.4, 32
2, 42, 36.58, 32
2, 42, 36.4, 32
2, 29.91, 36.49, 32
2, 42, 36.58, 32
2, 26.17, 24.24, 32
2, 42, 36.4, 32
2, 26.52, 36.4, 32
2, 42, 36.4, 32
2, 42, 36.4, 32
3, 42.09, 36.75, 32
3, 42.35, 28.06, 32
3, 42.09, 36.58, 32
3, 41.3, 36.4, 32
3, 44, 36.4, 32
3, 42, 36.49, 32
3, 42.09, 36.32, 32
3, 40, 36.4, 32
3, 42, 36.49, 32
3, 42, 36.23, 32
3, 41.48, 36.4, 32
3, 42, 37.45, 32
3, 29.22, 36.4, 32
3, 41.13, 36.4, 32
3, 42, 36.49, 32
3, 42, 53.87, 32
4, 42.09, 36.14, 32
4, 41.91, 33.88, 32
4, 42, 36.14, 32
4, 39.83, 36.49, 32
4, 41.3, 35.36, 32
4, 42.43, 36.14, 32
4, 42.35, 34.75, 32
4, 41.91, 35.01, 32
4, 41.74, 33.8, 32
4, 40, 36.4, 32
4, 41.91, 33.62, 32
4, 41.3, 36.32, 32
4, 39.83, 34.93, 32
4, 40.61, 36.23, 32
4, 41.91, 36.4, 32
4, 41.91, 36.32, 32
5, 42.17, 36.4, 32
5, 42.09, 26.06, 32
5, 42.09, 26.59, 32
5, 42, 28.5, 32
5, 24.87, 60.12, 32
5, 27.48, 36.4, 32
5, 25.13, 36.49, 32
5, 25.65, 36.4, 32
5, 26.17, 27.8, 32
5, 26.35, 24.15, 32
5, 25.39, 24.59, 32
5, 42, 36.4, 32
5, 27.39, 26.41, 32
5, 42, 24.15, 32
5, 41.91, 25.63, 32
5, 25.74, 36.4, 32
6, 42.09, 35.19, 32
6, 40.96, 63.51, 32
6, 39.13, 36.4, 32
6, 41.13, 32.15, 32
6, 40.96, 35.88, 32
6, 40.78, 35.45, 32
6, 41.13, 35.88, 32
6, 40.43, 35.88, 32
6, 41.04, 35.71, 32
6, 40.96, 35.79, 32
6, 38.7, 35.97, 32
6, 28.96, 35.79, 32
6, 40.43, 35.19, 32
6, 40.96, 35.88, 32
6, 40.17, 35.88, 32
6, 38.52, 34.84, 32
7, 42, 25.72, 32
7, 41.57, 36.32, 32
7, 41.48, 36.4, 32
7, 41.48, 36.32, 32
7, 41.48, 36.32, 32
7, 41.57, 36.32, 32
7, 41.48, 36.32, 32
7, 41.57, 36.32, 32
7, 41.57, 36.4, 32
7, 42, 36.32, 32
7, 41.48, 36.32, 32
7, 41.48, 36.32, 32
7, 41.48, 36.32, 32
7, 41.39, 36.32, 32
7, 41.65, 36.32, 32
7, 41.48, 36.32, 32
9, 42, 36.32, 32
9, 40.17, 21.37, 32
9, 23.83, 22.68, 32
9, 23.91, 29.45, 32
9, 24.35, 21.63, 32
9, 21.57, 31.19, 32
9, 23.22, 26.15, 32
9, 22.78, 21.11, 32
9, 28.96, 25.46, 32
9, 21.3, 21.81, 32
9, 26.43, 29.54, 32
9, 23.65, 26.67, 32
9, 23.48, 22.07, 32
9, 24.43, 37.01, 32
9, 21.74, 25.8, 32
9, 22.7, 19.46, 32
10, 42, 36.32, 32
