Experiment, Average-F2, Max-F2, Average-Acc, Min-Acc 
0, 0.00695, 0.16181, 38.73, 34.43
1, 0.01274, 0.52950, 38.58, 25.39
2, 0.01569, 0.57190, 38.53, 24.96
3, 0.01223, 0.60728, 38.49, 22.96
4, 0.01652, 0.54559, 38.42, 23.83
5, 0.01385, 0.76160, 38.59, 26.96
6, 0.01401, 0.81370, 38.90, 38.26
7, 0.00899, 0.55316, 38.58, 25.04
8, 0.00070, 0.03337, 38.78, 37.91
9, 0.00563, 0.33524, 38.63, 28.52
10, 0.01256, 0.79298, 38.66, 30.78
11, 0.00000, 0.00000, 38.79, 38.78
12, 0.00048, 0.03062, 38.78, 37.91
13, 0.00365, 0.10852, 38.73, 36.96
14, 0.00972, 0.53356, 38.55, 25.30
15, 0.01671, 0.57237, 38.38, 25.39
16, 0.02520, 0.74373, 38.37, 25.65
17, 0.02752, 0.65611, 38.18, 25.39
18, 0.01605, 0.51616, 38.44, 26.52
19, 0.03238, 0.57136, 37.99, 25.13
20, 0.01957, 0.58920, 38.29, 25.22
21, 0.03138, 0.58255, 38.03, 25.04
22, 0.02212, 0.53563, 38.25, 26.35
23, 0.01932, 0.45477, 38.28, 26.00
24, 0.02528, 0.51616, 38.12, 25.39
25, 0.03616, 0.76611, 38.08, 25.22
26, 0.03727, 0.75534, 38.07, 25.57
27, 0.01790, 0.50389, 38.29, 26.26
28, 0.01418, 0.46836, 38.39, 25.48
29, 0.01473, 0.47170, 38.41, 25.74
30, 0.01020, 0.48243, 38.51, 25.48
31, 0.03104, 0.54254, 38.03, 24.96
0, 0.01523, 0.38889, 38.56, 29.04
1, 0.02458, 0.70023, 38.23, 20.43
2, 0.00224, 0.08507, 38.79, 36.70
3, 0.01081, 0.46922, 38.54, 25.91
4, 0.01297, 0.42381, 38.62, 26.78
5, 0.01711, 0.78900, 38.83, 29.39
6, 0.01384, 0.75170, 38.58, 26.43
7, 0.01499, 0.82764, 38.74, 36.87
8, 0.00979, 0.62092, 38.56, 23.65
9, 0.00026, 0.01118, 38.79, 38.52
10, 0.01206, 0.73287, 38.58, 25.39
11, 0.00035, 0.01675, 38.81, 38.35
12, 0.00120, 0.07701, 38.77, 36.87
13, 0.00248, 0.14745, 38.75, 36.26
14, 0.00026, 0.01118, 38.79, 38.52
15, 0.01581, 0.59879, 38.44, 25.57
16, 0.00587, 0.23785, 38.68, 34.17
17, 0.00035, 0.01118, 38.78, 38.52
18, 0.01920, 0.51841, 38.49, 25.91
19, 0.00026, 0.01118, 38.79, 38.52
20, 0.00065, 0.03597, 38.79, 38.52
21, 0.00017, 0.01118, 38.80, 38.52
22, 0.00017, 0.01118, 38.80, 38.52
23, 0.00009, 0.00560, 38.79, 38.70
24, 0.00635, 0.39493, 38.75, 36.61
25, 0.00109, 0.03605, 38.77, 38.17
26, 0.00061, 0.03330, 38.78, 38.26
27, 0.00531, 0.33432, 38.76, 36.87
28, 0.00057, 0.01117, 38.79, 38.61
29, 0.00426, 0.21993, 38.71, 33.30
30, 0.00895, 0.50876, 38.57, 25.91
31, 0.00017, 0.00560, 38.80, 38.61
0, 0.00420, 0.06343, 38.82, 37.30
1, 0.02140, 0.77718, 38.55, 28.61
2, 0.01804, 0.53304, 38.43, 25.48
3, 0.04413, 0.77955, 38.01, 24.70
4, 0.01337, 0.79755, 38.66, 28.43
5, 0.02730, 0.58271, 38.10, 25.57
6, 0.02104, 0.70657, 38.42, 26.00
7, 0.01922, 0.62951, 38.41, 25.83
8, 0.02250, 0.72805, 38.40, 24.78
9, 0.02239, 0.70553, 38.49, 27.13
10, 0.01994, 0.69260, 38.49, 26.43
11, 0.03130, 0.66933, 38.34, 27.30
12, 0.02193, 0.70975, 38.54, 30.61
13, 0.01925, 0.68640, 38.47, 26.26
14, 0.02700, 0.68514, 38.25, 25.39
15, 0.04403, 0.76050, 38.12, 26.35
16, 0.06440, 0.77933, 38.11, 28.00
17, 0.07151, 0.68201, 37.48, 25.57
18, 0.12651, 0.74059, 36.65, 24.87
19, 0.16743, 0.79728, 36.15, 24.96
20, 0.19888, 0.74766, 35.89, 23.74
21, 0.30723, 0.79168, 34.29, 24.61
22, 0.42157, 0.75000, 32.05, 24.96
23, 0.39389, 0.80932, 32.54, 26.00
24, 0.45886, 0.76383, 31.61, 24.26
25, 0.53018, 0.78683, 30.22, 24.35
26, 0.51769, 0.77933, 29.56, 24.00
27, 0.54677, 0.80398, 29.40, 20.00
28, 0.57725, 0.79746, 29.38, 22.17
29, 0.44807, 0.81087, 31.06, 21.91
30, 0.53354, 0.81522, 29.47, 20.35
31, 0.46757, 0.82323, 31.13, 22.09
