Experiment, Average-F2, Max-F2, Average-Acc, Min-Acc 
0, 0.01704, 0.81329, 38.79, 37.30
1, 0.01126, 0.58463, 38.60, 24.96
2, 0.00840, 0.47442, 38.63, 25.48
3, 0.01724, 0.56845, 38.41, 25.48
4, 0.01277, 0.54363, 38.51, 26.35
5, 0.01698, 0.54732, 38.40, 25.74
6, 0.02505, 0.56813, 38.17, 25.13
7, 0.03057, 0.81486, 38.45, 25.83
8, 0.02624, 0.59072, 38.18, 24.87
9, 0.00800, 0.51200, 38.59, 24.78
10, 0.01741, 0.59607, 38.38, 24.70
11, 0.00924, 0.57458, 38.59, 26.43
12, 0.01012, 0.41814, 38.50, 27.39
13, 0.01868, 0.67123, 38.33, 22.96
14, 0.02786, 0.67257, 38.19, 24.43
15, 0.03547, 0.81579, 38.19, 24.43
16, 0.02054, 0.68416, 38.34, 24.00
17, 0.04088, 0.69161, 37.89, 22.35
18, 0.04311, 0.79379, 38.13, 24.00
19, 0.03270, 0.64772, 38.08, 21.91
20, 0.03134, 0.68690, 37.98, 21.83
21, 0.04096, 0.67259, 37.74, 22.87
22, 0.04806, 0.55714, 37.50, 25.04
23, 0.05287, 0.61387, 37.43, 24.70
24, 0.07578, 0.67215, 36.87, 22.70
25, 0.06746, 0.74852, 37.24, 23.13
26, 0.13327, 0.78216, 35.53, 23.57
27, 0.15167, 0.73427, 35.05, 22.09
28, 0.16708, 0.80837, 34.92, 22.61
29, 0.18970, 0.75240, 34.46, 23.13
30, 0.19733, 0.75371, 34.20, 21.74
31, 0.22587, 0.75939, 33.42, 22.87
0, 0.00793, 0.19394, 38.74, 33.30
1, 0.01011, 0.37121, 38.68, 30.26
2, 0.00017, 0.01117, 38.84, 38.70
3, 0.00056, 0.03603, 38.79, 38.26
4, 0.00217, 0.13874, 38.79, 34.61
5, 0.02567, 0.80334, 39.10, 37.22
6, 0.00920, 0.47371, 38.57, 25.74
7, 0.02375, 0.77407, 38.52, 22.17
8, 0.00128, 0.06233, 38.85, 38.78
9, 0.00000, 0.00000, 38.81, 38.78
10, 0.00000, 0.00000, 38.80, 38.78
11, 0.01274, 0.81513, 38.63, 28.52
12, 0.00000, 0.00000, 38.79, 38.78
13, 0.00000, 0.00000, 38.80, 38.78
14, 0.01243, 0.79531, 38.59, 25.30
15, 0.00126, 0.08056, 38.81, 38.78
16, 0.00000, 0.00000, 38.80, 38.78
17, 0.00000, 0.00000, 38.79, 38.78
18, 0.00065, 0.04167, 38.78, 37.57
19, 0.00000, 0.00000, 38.79, 38.78
0, 0.00532, 0.13791, 38.78, 35.57
1, 0.01121, 0.45885, 38.55, 26.00
2, 0.00852, 0.26907, 38.63, 32.17
3, 0.00856, 0.38442, 38.67, 30.09
4, 0.00017, 0.01118, 38.82, 38.52
5, 0.01961, 0.70650, 38.42, 26.70
6, 0.00017, 0.01115, 38.80, 38.78
7, 0.02220, 0.52812, 38.27, 23.91
8, 0.01278, 0.80658, 38.73, 34.09
9, 0.01245, 0.73298, 38.56, 24.52
10, 0.00984, 0.57176, 38.61, 26.17
11, 0.01826, 0.77945, 38.86, 29.30
12, 0.02462, 0.56345, 38.19, 25.91
13, 0.02397, 0.54817, 38.17, 25.13
14, 0.03204, 0.75173, 38.04, 24.00
15, 0.04934, 0.63326, 37.73, 23.83
16, 0.02625, 0.62122, 38.24, 24.09
17, 0.03953, 0.81472, 38.19, 25.22
18, 0.03202, 0.59031, 37.99, 24.61
19, 0.03400, 0.63499, 38.00, 25.30
20, 0.06088, 0.71930, 37.50, 24.87
21, 0.04211, 0.59501, 37.79, 24.52
22, 0.01998, 0.53166, 38.28, 25.30
23, 0.04818, 0.81679, 37.81, 24.78
24, 0.06435, 0.65731, 37.25, 23.83
25, 0.06534, 0.72030, 37.19, 23.30
26, 0.07733, 0.61751, 36.87, 24.78
27, 0.13240, 0.64208, 35.55, 24.26
28, 0.21810, 0.79236, 33.53, 24.26
29, 0.20400, 0.76950, 34.16, 23.04
30, 0.15548, 0.71554, 34.74, 21.65
31, 0.17798, 0.63189, 33.99, 21.91
0, 0.01175, 0.64640, 38.70, 26.78
1, 0.01234, 0.43253, 38.58, 29.13
2, 0.00281, 0.04989, 38.79, 37.39
3, 0.02582, 0.84172, 38.43, 25.57
4, 0.01314, 0.55740, 38.53, 26.09
5, 0.00000, 0.00000, 38.81, 38.78
6, 0.00017, 0.01118, 38.80, 38.52
7, 0.00634, 0.40589, 38.62, 27.22
8, 0.00616, 0.39420, 38.62, 27.65
9, 0.00946, 0.60526, 38.72, 33.91
10, 0.00000, 0.00000, 38.80, 38.78
11, 0.00000, 0.00000, 38.79, 38.78
12, 0.00000, 0.00000, 38.79, 38.78
13, 0.00000, 0.00000, 38.80, 38.78
14, 0.00000, 0.00000, 38.80, 38.78
15, 0.00000, 0.00000, 38.79, 38.78
16, 0.02063, 0.80503, 38.45, 24.70
17, 0.02296, 0.78478, 38.64, 27.65
18, 0.01871, 0.38911, 38.29, 28.00
19, 0.03256, 0.53802, 37.99, 25.48
20, 0.02922, 0.57746, 38.07, 26.09
21, 0.02394, 0.77434, 38.40, 27.91
22, 0.00989, 0.45773, 38.52, 25.65
23, 0.00933, 0.59740, 38.59, 26.00
24, 0.00854, 0.54093, 38.60, 26.00
25, 0.00753, 0.48220, 38.58, 25.57
26, 0.00835, 0.53417, 38.60, 25.74
27, 0.00655, 0.41646, 38.61, 27.22
28, 0.00509, 0.29550, 38.67, 30.26
29, 0.01623, 0.56962, 38.41, 25.91
30, 0.01096, 0.49282, 38.48, 24.61
31, 0.02519, 0.59793, 38.16, 24.17
0, 0.01210, 0.55529, 38.60, 25.57
1, 0.00247, 0.04437, 38.84, 37.65
2, 0.01730, 0.52936, 38.42, 26.00
3, 0.00125, 0.07151, 38.81, 37.22
4, 0.00000, 0.00000, 38.80, 38.78
5, 0.00000, 0.00000, 38.80, 38.78
6, 0.01216, 0.77836, 39.04, 38.78
7, 0.00604, 0.38657, 38.62, 28.17
8, 0.02093, 0.57265, 38.32, 25.30
9, 0.01874, 0.50636, 38.28, 25.39
10, 0.03789, 0.74270, 38.01, 25.13
11, 0.03910, 0.64844, 37.81, 24.96
12, 0.05214, 0.80052, 37.86, 25.39
13, 0.02226, 0.56188, 38.21, 25.22
14, 0.03042, 0.54788, 38.02, 24.78
15, 0.04407, 0.59496, 37.67, 25.48
16, 0.04439, 0.52644, 37.65, 25.57
17, 0.05780, 0.52415, 37.24, 25.57
18, 0.05294, 0.58255, 37.44, 24.87
19, 0.08265, 0.56920, 36.65, 25.22
20, 0.09533, 0.59719, 36.53, 24.96
21, 0.09945, 0.62152, 36.12, 24.52
22, 0.10647, 0.57412, 35.99, 24.87
23, 0.11884, 0.58603, 35.68, 24.35
24, 0.13894, 0.79992, 35.23, 24.17
25, 0.17326, 0.79607, 34.52, 23.39
26, 0.21364, 0.79210, 33.81, 24.61
27, 0.23925, 0.72371, 32.58, 23.30
28, 0.27186, 0.57863, 31.68, 24.52
29, 0.24081, 0.57756, 32.44, 23.65
30, 0.30357, 0.62726, 31.16, 24.17
31, 0.25511, 0.66607, 32.30, 24.78
0, 0.00476, 0.09615, 38.77, 35.83
1, 0.02566, 0.74210, 38.31, 21.22
2, 0.02850, 0.58684, 38.21, 24.26
3, 0.03837, 0.75731, 37.95, 24.43
4, 0.01310, 0.58921, 38.49, 24.09
5, 0.01415, 0.80871, 38.85, 37.74
6, 0.00139, 0.04992, 38.77, 37.30
7, 0.00108, 0.06891, 38.80, 37.04
8, 0.00056, 0.03611, 38.78, 37.91
9, 0.00039, 0.02500, 38.80, 38.61
10, 0.00022, 0.01391, 38.79, 38.78
11, 0.00000, 0.00000, 38.79, 38.78
12, 0.00000, 0.00000, 38.81, 38.78
13, 0.01118, 0.71521, 38.61, 27.30
14, 0.00000, 0.00000, 38.79, 38.78
15, 0.00000, 0.00000, 38.79, 38.78
16, 0.00000, 0.00000, 38.80, 38.78
17, 0.00000, 0.00000, 38.81, 38.78
18, 0.00082, 0.05257, 38.79, 37.48
19, 0.00000, 0.00000, 38.81, 38.78
20, 0.00000, 0.00000, 38.79, 38.78
21, 0.00534, 0.34179, 38.62, 28.61
22, 0.00805, 0.50976, 38.58, 25.57
23, 0.00000, 0.00000, 38.79, 38.78
24, 0.01656, 0.61121, 38.46, 26.61
25, 0.00453, 0.29012, 38.66, 30.70
26, 0.00000, 0.00000, 38.79, 38.78
27, 0.00004, 0.00280, 38.81, 38.70
28, 0.00013, 0.00560, 38.79, 38.61
29, 0.00239, 0.12262, 38.72, 35.39
30, 0.00100, 0.03062, 38.77, 37.91
31, 0.00502, 0.31821, 38.64, 29.13
0, 0.01661, 0.52033, 38.47, 25.91
1, 0.01261, 0.52555, 38.54, 24.78
2, 0.03476, 0.82797, 38.51, 19.22
3, 0.01880, 0.79505, 38.58, 32.09
4, 0.01585, 0.82443, 38.51, 20.09
5, 0.03799, 0.84380, 38.62, 21.22
6, 0.01664, 0.52593, 38.36, 24.00
7, 0.01034, 0.54185, 38.57, 24.43
8, 0.01740, 0.59726, 38.35, 23.83
9, 0.02598, 0.56086, 38.14, 24.78
10, 0.02563, 0.62821, 38.14, 23.04
11, 0.03164, 0.56214, 37.98, 24.70
12, 0.05473, 0.80978, 37.37, 23.04
13, 0.05471, 0.76892, 37.68, 23.74
14, 0.06295, 0.82643, 37.28, 22.78
15, 0.03858, 0.73778, 37.82, 24.87
16, 0.03571, 0.62354, 37.90, 23.39
17, 0.02968, 0.62181, 38.00, 24.17
18, 0.04611, 0.76891, 37.75, 23.65
19, 0.05420, 0.83397, 37.83, 25.39
20, 0.04447, 0.73430, 37.75, 23.91
21, 0.08642, 0.78752, 37.03, 20.17
22, 0.07398, 0.75663, 37.00, 21.04
23, 0.10738, 0.84444, 36.46, 22.96
24, 0.12200, 0.83472, 36.01, 19.83
25, 0.15066, 0.82313, 35.37, 19.48
26, 0.18016, 0.82622, 34.64, 20.43
27, 0.23657, 0.84945, 34.19, 20.17
28, 0.28099, 0.83884, 32.46, 18.17
29, 0.38057, 0.83472, 30.91, 19.22
30, 0.38882, 0.81919, 31.07, 19.13
31, 0.37222, 0.81337, 30.25, 20.96
0, 0.00470, 0.19786, 38.77, 33.39
1, 0.01636, 0.75064, 38.57, 27.13
2, 0.02550, 0.54602, 38.22, 25.39
3, 0.01895, 0.53433, 38.36, 25.04
4, 0.02622, 0.59851, 38.18, 24.87
5, 0.02500, 0.56004, 38.18, 25.39
6, 0.03566, 0.76659, 38.51, 25.57
7, 0.01900, 0.45771, 38.26, 26.43
8, 0.04371, 0.79504, 38.47, 24.87
9, 0.02647, 0.73398, 38.34, 25.30
10, 0.03215, 0.76135, 38.25, 25.91
11, 0.03635, 0.77179, 38.27, 25.22
12, 0.01362, 0.48347, 38.42, 25.83
13, 0.03233, 0.69444, 38.10, 25.39
14, 0.02712, 0.54087, 38.08, 25.30
15, 0.02512, 0.54598, 38.15, 24.78
16, 0.01371, 0.54472, 38.45, 26.61
17, 0.03123, 0.53995, 37.98, 24.43
18, 0.02381, 0.52311, 38.16, 24.96
19, 0.02005, 0.47525, 38.25, 25.91
20, 0.00662, 0.42381, 38.61, 26.78
21, 0.02025, 0.75383, 38.40, 24.87
22, 0.02547, 0.65570, 38.20, 25.57
23, 0.00542, 0.34679, 38.64, 28.35
24, 0.00496, 0.30366, 38.65, 29.57
25, 0.02916, 0.72550, 38.25, 25.13
26, 0.04306, 0.72218, 38.00, 24.70
27, 0.05141, 0.79013, 38.35, 24.96
28, 0.02055, 0.69832, 38.43, 25.30
29, 0.01933, 0.66374, 38.45, 25.65
30, 0.02178, 0.70972, 38.43, 24.87
31, 0.03565, 0.71247, 38.21, 24.43
0, 0.00286, 0.04162, 38.86, 37.74
1, 0.00937, 0.48324, 38.68, 28.09
2, 0.00964, 0.59757, 38.62, 25.39
3, 0.00809, 0.48143, 38.64, 27.30
4, 0.02063, 0.79436, 38.78, 26.70
5, 0.00780, 0.49951, 38.61, 26.43
6, 0.00823, 0.52657, 38.60, 25.74
7, 0.03888, 0.81534, 38.18, 23.57
8, 0.01609, 0.52478, 38.38, 25.04
9, 0.01682, 0.55793, 38.37, 25.39
10, 0.02105, 0.55767, 38.24, 25.39
11, 0.03087, 0.52950, 37.99, 24.52
12, 0.02995, 0.58396, 38.03, 25.30
13, 0.02714, 0.54795, 38.01, 22.43
14, 0.01625, 0.53964, 38.41, 26.09
15, 0.02157, 0.50806, 38.23, 25.48
16, 0.02484, 0.57439, 38.17, 25.22
17, 0.03463, 0.59656, 38.01, 25.91
18, 0.02651, 0.56674, 38.12, 25.91
19, 0.03477, 0.58107, 37.99, 25.65
20, 0.03696, 0.51607, 37.83, 25.39
21, 0.03949, 0.54119, 37.80, 25.04
22, 0.04269, 0.53099, 37.69, 25.57
23, 0.03093, 0.47949, 37.92, 25.48
24, 0.02004, 0.51120, 38.23, 25.74
25, 0.03442, 0.73736, 38.07, 25.48
26, 0.04190, 0.76295, 37.96, 25.91
27, 0.07450, 0.77673, 37.75, 24.87
28, 0.04173, 0.55688, 37.76, 25.30
29, 0.04249, 0.78303, 37.93, 25.30
30, 0.02069, 0.51549, 38.25, 26.26
31, 0.01658, 0.48124, 38.36, 25.57
0, 0.00714, 0.24869, 38.73, 33.22
1, 0.00139, 0.03057, 38.82, 38.17
2, 0.00887, 0.33885, 38.60, 28.96
3, 0.01095, 0.54890, 38.54, 25.22
4, 0.00835, 0.45135, 38.55, 25.74
5, 0.00501, 0.27646, 38.68, 30.52
6, 0.01370, 0.60789, 38.49, 25.48
7, 0.01813, 0.63429, 38.36, 23.30
8, 0.03765, 0.81513, 38.12, 25.57
9, 0.04448, 0.80382, 38.29, 26.00
10, 0.06188, 0.78661, 37.83, 25.22
11, 0.04546, 0.74153, 37.98, 24.35
12, 0.06078, 0.78541, 37.68, 22.61
13, 0.07966, 0.80948, 37.40, 20.96
14, 0.11533, 0.80700, 37.78, 23.57
15, 0.10658, 0.75073, 36.89, 23.65
16, 0.14702, 0.77521, 36.05, 21.13
17, 0.19300, 0.77863, 35.64, 22.78
18, 0.25615, 0.81221, 34.28, 23.04
19, 0.27514, 0.79431, 33.66, 21.57
20, 0.28076, 0.77229, 34.25, 22.43
21, 0.35044, 0.81053, 32.62, 19.74
22, 0.39425, 0.81109, 31.64, 22.17
23, 0.40508, 0.80760, 30.08, 20.87
24, 0.39733, 0.81325, 30.99, 21.65
25, 0.45796, 0.81454, 29.84, 22.09
26, 0.42346, 0.81920, 29.91, 21.83
27, 0.43204, 0.81240, 29.53, 21.91
28, 0.39368, 0.83495, 30.60, 21.39
29, 0.39538, 0.82990, 31.01, 22.52
30, 0.44134, 0.80169, 29.41, 20.26
31, 0.45320, 0.81210, 29.33, 19.57
0, 0.01679, 0.67134, 38.60, 24.35
1, 0.01417, 0.71490, 38.67, 28.26
2, 0.01700, 0.80143, 38.77, 35.74
3, 0.00532, 0.25189, 38.82, 37.91
4, 0.00022, 0.01396, 38.81, 38.52
5, 0.00000, 0.00000, 38.84, 38.78
6, 0.00017, 0.01119, 38.78, 38.43
7, 0.00000, 0.00000, 38.79, 38.78
8, 0.00855, 0.52759, 38.58, 25.39
9, 0.00000, 0.00000, 38.81, 38.78
10, 0.00518, 0.32333, 38.66, 30.00
11, 0.00017, 0.01119, 38.78, 38.43
12, 0.00000, 0.00000, 38.78, 38.78
13, 0.00013, 0.00839, 38.80, 38.52
14, 0.00969, 0.60353, 38.57, 25.74
15, 0.01342, 0.78411, 38.60, 27.13
16, 0.01117, 0.67831, 38.54, 23.30
17, 0.00134, 0.04137, 38.78, 38.52
18, 0.00781, 0.48002, 38.62, 27.83
19, 0.00644, 0.39787, 38.62, 27.91
20, 0.01257, 0.77673, 39.04, 38.00
21, 0.00052, 0.01119, 38.78, 38.43
22, 0.00644, 0.38677, 38.63, 28.09
23, 0.00148, 0.03615, 38.75, 37.74
24, 0.00936, 0.52104, 38.54, 24.35
25, 0.00606, 0.31837, 38.61, 29.04
26, 0.03666, 0.82812, 37.91, 23.04
27, 0.03525, 0.58271, 37.94, 25.57
28, 0.06475, 0.58243, 37.14, 24.87
29, 0.08421, 0.58714, 36.64, 24.70
30, 0.09453, 0.59513, 36.40, 24.43
31, 0.10083, 0.55688, 36.07, 24.70
0, 0.00515, 0.10343, 38.79, 36.78
1, 0.00165, 0.04440, 38.86, 37.57
2, 0.01504, 0.51866, 38.46, 25.83
3, 0.01708, 0.53063, 38.37, 25.13
4, 0.00955, 0.57210, 38.62, 25.48
5, 0.03277, 0.78985, 38.44, 24.26
6, 0.03518, 0.77763, 37.96, 23.48
7, 0.03710, 0.65033, 37.90, 25.48
8, 0.05207, 0.56684, 37.46, 25.22
9, 0.05544, 0.61424, 37.34, 24.61
10, 0.06992, 0.69736, 37.09, 23.91
11, 0.09144, 0.79810, 36.77, 23.74
12, 0.09202, 0.76471, 36.68, 24.35
13, 0.13291, 0.78333, 36.10, 24.61
14, 0.12949, 0.74617, 35.69, 22.26
15, 0.19086, 0.80868, 34.81, 22.09
16, 0.22492, 0.73670, 33.42, 24.00
17, 0.25326, 0.78547, 32.84, 23.57
18, 0.25073, 0.80747, 33.18, 23.83
19, 0.32464, 0.79304, 31.33, 23.57
20, 0.24763, 0.79966, 33.63, 23.65
21, 0.24527, 0.81245, 33.56, 23.74
22, 0.31146, 0.80827, 32.24, 24.00
23, 0.32306, 0.81612, 31.92, 22.09
24, 0.32873, 0.79907, 31.76, 22.78
25, 0.35962, 0.80379, 30.51, 23.30
26, 0.27549, 0.78783, 32.03, 22.61
27, 0.29347, 0.81405, 32.32, 23.39
28, 0.30196, 0.74903, 31.70, 22.96
29, 0.32539, 0.80806, 31.68, 22.61
30, 0.33691, 0.77286, 30.77, 21.83
31, 0.30291, 0.77838, 32.00, 23.30
