Experiment, Validation, Test, Generations
0, 35.3, 38.75, 32
0, 34.61, 36.14, 32
0, 32.26, 37.27, 32
0, 37.13, 28.76, 32
0, 34.52, 36.14, 32
0, 38.52, 35.1, 32
0, 34.26, 35.97, 32
0, 35.3, 36.06, 32
0, 37.04, 35.97, 32
0, 35.65, 36.14, 32
0, 35.74, 38.84, 32
0, 32.61, 36.23, 32
0, 38.52, 39.36, 32
0, 32.96, 35.27, 32
0, 35.39, 35.79, 32
1, 37.39, 39.53, 32
1, 36.78, 34.06, 32
1, 34.61, 34.75, 32
1, 36.87, 36.23, 32
1, 36.35, 37.53, 32
1, 33.48, 31.02, 32
1, 33.3, 39.53, 32
1, 38.52, 35.19, 32
1, 33.48, 38.58, 32
1, 32.43, 38.31, 32
1, 36.35, 29.63, 32
1, 28.43, 39.53, 32
1, 37.65, 36.75, 32
1, 34.61, 38.23, 32
1, 35.13, 39.53, 32
2, 25.13, 26.06, 32
2, 34.43, 25.02, 32
2, 23.74, 26.67, 32
2, 26.78, 25.72, 32
2, 24.7, 30.84, 32
2, 24.52, 30.84, 32
2, 27.83, 25.11, 32
2, 27.48, 28.24, 32
2, 23.91, 25.46, 32
2, 27.3, 28.84, 32
2, 24, 31.54, 32
2, 27.22, 28.32, 32
2, 35.22, 26.41, 32
2, 35.48, 29.37, 32
2, 25.3, 27.89, 32
3, 35.57, 36.66, 32
3, 35.91, 36.84, 32
3, 37.74, 33.8, 32
3, 32.61, 39.62, 32
3, 35.04, 37.27, 32
3, 38.52, 34.4, 32
3, 38.52, 36.75, 32
3, 30.17, 38.92, 32
3, 36.09, 39.62, 32
3, 33.22, 38.05, 32
3, 34.78, 35.53, 32
3, 31.04, 26.41, 32
3, 38.35, 36.32, 32
3, 32, 36.14, 32
3, 38.52, 39.18, 32
4, 39.13, 29.8, 32
4, 31.74, 34.93, 32
4, 34.78, 36.84, 32
4, 35.3, 27.45, 32
4, 32.61, 37.71, 32
4, 34.09, 38.31, 32
4, 28.78, 27.19, 32
4, 37.3, 25.63, 32
