Experiment, Validation, Test, Generations
0, 3.45, 3.43, 30
0, 1.72, 2.86, 30
0, 1.72, 2.86, 30
0, 1.72, 2.86, 30
0, 1.72, 2.86, 30
0, 1.72, 2.86, 30
0, 1.72, 2.86, 30
0, 1.72, 2.86, 30
0, 1.72, 2.86, 30
0, 1.72, 2.86, 30
0, 1.72, 2.86, 30
0, 1.72, 2.86, 30
0, 1.72, 2.86, 30
0, 1.72, 2.86, 30
0, 1.72, 2.86, 30
0, 1.72, 2.86, 30
1, 3.45, 3.43, 32
1, 2.3, 4.57, 32
1, 1.72, 4.57, 32
1, 1.72, 4.57, 32
1, 1.72, 4.57, 32
1, 1.72, 4.57, 32
1, 1.72, 4.57, 32
1, 1.72, 4.57, 32
1, 1.72, 4.57, 32
1, 1.72, 4.57, 32
1, 1.72, 4.57, 32
1, 1.72, 4.57, 32
1, 1.72, 4.57, 32
1, 1.72, 4.57, 32
1, 1.72, 4.57, 32
1, 1.72, 4.57, 32
2, 2.87, 4, 32
2, 2.3, 4, 32
2, 2.3, 4, 32
2, 2.3, 4, 32
2, 2.3, 4, 32
2, 2.3, 4, 32
2, 2.3, 4, 32
2, 2.3, 4, 32
2, 2.3, 4, 32
2, 2.3, 4, 32
2, 2.3, 4, 32
2, 2.3, 4, 32
2, 2.3, 4, 32
2, 2.3, 4, 32
2, 2.3, 4, 32
2, 2.3, 4, 32
3, 3.45, 4.57, 32
3, 2.3, 4.57, 32
3, 2.3, 4.57, 32
3, 2.3, 4.57, 32
3, 2.3, 4.57, 32
3, 2.3, 4.57, 32
3, 2.87, 4.57, 32
3, 2.3, 4.57, 32
3, 2.3, 4.57, 32
3, 2.3, 4.57, 32
3, 2.3, 4.57, 32
3, 2.3, 4.57, 32
3, 2.3, 4.57, 32
3, 2.3, 4.57, 32
3, 2.3, 4.57, 32
3, 2.3, 4.57, 32
4, 3.45, 4, 20
4, 2.3, 2.86, 20
4, 1.72, 2.86, 20
4, 1.72, 2.86, 20
4, 1.72, 2.86, 20
4, 1.72, 2.86, 20
4, 2.3, 2.86, 20
4, 1.15, 2.86, 20
4, 1.72, 2.86, 20
4, 2.3, 2.86, 20
4, 1.72, 2.86, 20
4, 1.72, 2.86, 20
4, 2.3, 2.86, 20
4, 1.72, 2.86, 20
4, 1.72, 2.86, 20
4, 2.3, 2.86, 20
5, 3.45, 5.14, 32
5, 1.72, 4, 32
5, 1.72, 4, 32
5, 2.3, 4, 32
5, 1.72, 4, 32
5, 1.72, 4, 32
5, 1.72, 4, 32
5, 1.72, 4, 32
5, 1.72, 4, 32
5, 2.3, 4, 32
5, 1.72, 4, 32
5, 1.72, 4, 32
5, 1.72, 4, 32
5, 2.3, 4, 32
5, 1.72, 4, 32
5, 1.72, 4, 32
6, 3.45, 3.43, 32
6, 1.72, 3.43, 32
6, 1.72, 3.43, 32
6, 1.72, 3.43, 32
6, 1.72, 3.43, 32
6, 1.72, 3.43, 32
6, 1.72, 3.43, 32
6, 1.72, 3.43, 32
6, 1.72, 3.43, 32
6, 1.72, 3.43, 32
6, 1.72, 3.43, 32
6, 1.72, 3.43, 32
6, 1.72, 3.43, 32
6, 1.72, 3.43, 32
6, 1.72, 3.43, 32
6, 1.72, 3.43, 32
7, 2.87, 3.43, 20
7, 1.72, 3.43, 20
7, 2.3, 3.43, 20
7, 1.72, 3.43, 20
7, 1.72, 3.43, 20
7, 1.72, 3.43, 20
7, 1.72, 3.43, 20
7, 1.72, 3.43, 20
7, 1.72, 3.43, 20
7, 1.72, 3.43, 20
7, 1.72, 3.43, 20
7, 1.72, 3.43, 20
7, 1.72, 3.43, 20
7, 2.3, 3.43, 20
7, 1.72, 3.43, 20
7, 1.72, 3.43, 20
8, 2.87, 2.86, 32
8, 1.72, 4, 32
8, 1.72, 4, 32
8, 1.72, 4, 32
8, 1.72, 4, 32
8, 1.72, 3.43, 32
8, 1.72, 4, 32
8, 1.72, 4, 32
8, 1.72, 4, 32
8, 1.72, 4, 32
8, 1.72, 4, 32
8, 1.72, 4, 32
8, 1.72, 4, 32
8, 1.72, 4, 32
8, 1.72, 4, 32
8, 1.72, 4, 32
9, 3.45, 3.43, 32
9, 2.3, 3.43, 32
9, 2.87, 5.14, 32
9, 2.3, 5.14, 32
9, 1.72, 4.57, 32
9, 2.3, 4.57, 32
9, 1.72, 4, 32
9, 1.72, 4.57, 32
9, 2.3, 5.14, 32
9, 1.72, 5.14, 32
9, 2.3, 4.57, 32
9, 2.3, 5.14, 32
9, 2.3, 4, 32
9, 2.3, 4.57, 32
9, 2.3, 4.57, 32
9, 2.3, 5.14, 32
10, 2.87, 3.43, 30
10, 1.72, 4, 30
10, 1.72, 4, 30
10, 1.72, 4, 30
10, 1.72, 4, 30
10, 1.72, 4, 30
10, 1.72, 4, 30
10, 1.72, 4, 30
10, 1.72, 4, 30
10, 1.72, 4, 30
10, 1.72, 4, 30
10, 1.72, 4, 30
10, 1.72, 4, 30
10, 1.72, 4, 30
10, 1.72, 4, 30
10, 1.72, 4, 30
11, 2.87, 3.43, 32
11, 1.72, 4, 32
11, 1.72, 4, 32
11, 1.72, 4, 32
11, 1.72, 4, 32
11, 1.72, 4, 32
11, 1.72, 4, 32
11, 1.72, 4, 32
11, 1.72, 4, 32
11, 1.72, 4, 32
11, 1.72, 4, 32
11, 1.72, 4, 32
11, 1.72, 4, 32
11, 1.72, 4, 32
11, 1.72, 4, 32
11, 1.72, 4, 32
12, 4.02, 3.43, 30
12, 2.3, 3.43, 30
12, 2.3, 3.43, 30
12, 2.3, 3.43, 30
12, 2.3, 3.43, 30
12, 2.3, 3.43, 30
12, 2.3, 2.86, 30
12, 2.3, 3.43, 30
12, 2.3, 2.86, 30
12, 2.3, 2.86, 30
12, 2.3, 3.43, 30
12, 2.3, 3.43, 30
12, 2.3, 3.43, 30
12, 2.3, 2.86, 30
12, 2.3, 3.43, 30
12, 2.3, 3.43, 30
13, 3.45, 2.86, 30
13, 1.72, 4.57, 30
13, 1.72, 4.57, 30
13, 1.72, 4.57, 30
13, 1.72, 4.57, 30
13, 1.72, 4.57, 30
13, 1.72, 4.57, 30
13, 1.72, 4.57, 30
13, 1.72, 4.57, 30
13, 1.72, 4.57, 30
13, 1.72, 4.57, 30
13, 1.72, 4.57, 30
13, 1.72, 4.57, 30
13, 1.72, 4.57, 30
13, 1.72, 4.57, 30
13, 1.72, 4.57, 30
14, 2.3, 3.43, 32
14, 1.72, 4, 32
14, 1.72, 4, 32
14, 1.72, 4.57, 32
14, 1.72, 4.57, 32
14, 1.72, 4.57, 32
14, 1.72, 4, 32
14, 1.72, 4.57, 32
14, 1.72, 4, 32
14, 1.72, 4.57, 32
14, 1.72, 4.57, 32
14, 1.72, 4.57, 32
14, 1.72, 4.57, 32
14, 1.72, 4.57, 32
14, 1.72, 4.57, 32
14, 1.72, 4.57, 32
