Experiment, Validation, Test
0, 15.25, 30
0, 0, 18.33
0, 3.39, 20
0, 0, 16.67
0, 0, 18.33
0, 0, 16.67
0, 0, 16.67
0, 0, 16.67
0, 0, 16.67
0, 3.39, 16.67
0, 0, 18.33
0, 1.69, 16.67
0, 0, 18.33
0, 0, 18.33
0, 0, 18.33
0, 0, 16.67
1, 13.56, 33.33
1, 0, 16.67
1, 0, 15
1, 0, 15
1, 0, 15
1, 0, 16.67
1, 0, 16.67
1, 0, 15
1, 0, 16.67
1, 0, 15
1, 0, 15
1, 0, 15
1, 0, 18.33
1, 0, 15
1, 0, 15
1, 0, 15
2, 11.86, 30
2, 0, 11.67
2, 0, 11.67
2, 0, 13.33
2, 0, 10
2, 0, 11.67
2, 0, 10
2, 0, 11.67
2, 0, 11.67
2, 0, 11.67
2, 0, 11.67
2, 0, 11.67
2, 0, 11.67
2, 1.69, 11.67
2, 0, 11.67
2, 0, 11.67
3, 18.64, 18.33
3, 1.69, 13.33
3, 1.69, 13.33
3, 0, 15
3, 0, 16.67
3, 0, 11.67
3, 0, 16.67
3, 0, 16.67
3, 0, 16.67
3, 0, 18.33
3, 0, 13.33
3, 0, 16.67
3, 0, 16.67
3, 6.78, 16.67
3, 0, 11.67
3, 1.69, 13.33
4, 25.42, 26.67
4, 3.39, 16.67
4, 1.69, 16.67
4, 1.69, 16.67
4, 5.08, 16.67
4, 1.69, 16.67
4, 5.08, 20
4, 3.39, 16.67
4, 3.39, 20
4, 3.39, 16.67
4, 3.39, 16.67
4, 1.69, 16.67
4, 5.08, 16.67
4, 3.39, 16.67
4, 1.69, 16.67
4, 3.39, 16.67
5, 13.56, 21.67
5, 0, 23.33
5, 0, 25
5, 0, 25
5, 1.69, 25
5, 0, 21.67
5, 0, 20
5, 0, 25
5, 0, 23.33
5, 0, 20
5, 0, 21.67
5, 0, 23.33
5, 0, 25
5, 0, 25
5, 0, 23.33
5, 0, 21.67
6, 16.95, 41.67
6, 0, 13.33
6, 3.39, 11.67
6, 0, 10
6, 1.69, 10
6, 3.39, 10
6, 5.08, 8.33
6, 5.08, 21.67
6, 3.39, 11.67
6, 5.08, 10
6, 5.08, 13.33
6, 0, 10
6, 0, 11.67
6, 1.69, 10
6, 6.78, 8.33
6, 0, 11.67
7, 13.56, 25
7, 0, 16.67
7, 0, 18.33
7, 1.69, 18.33
7, 1.69, 18.33
7, 5.08, 16.67
7, 1.69, 18.33
7, 3.39, 16.67
7, 5.08, 16.67
7, 1.69, 18.33
7, 0, 16.67
7, 1.69, 18.33
7, 0, 18.33
7, 0, 18.33
7, 0, 18.33
7, 0, 18.33
8, 13.56, 35
8, 3.39, 10
8, 3.39, 20
8, 3.39, 16.67
8, 5.08, 10
8, 3.39, 15
8, 3.39, 18.33
8, 5.08, 16.67
8, 3.39, 20
8, 3.39, 20
8, 5.08, 10
8, 3.39, 18.33
8, 5.08, 18.33
8, 5.08, 20
8, 5.08, 16.67
8, 3.39, 11.67
9, 8.47, 38.33
9, 8.47, 28.33
9, 0, 28.33
9, 0, 28.33
9, 0, 30
9, 0, 31.67
9, 0, 30
9, 1.69, 26.67
9, 0, 30
9, 0, 28.33
9, 0, 30
9, 10.17, 31.67
9, 3.39, 26.67
9, 0, 30
9, 0, 30
9, 3.39, 26.67
10, 16.95, 31.67
10, 1.69, 15
10, 1.69, 15
10, 1.69, 15
10, 1.69, 16.67
10, 1.69, 15
10, 1.69, 15
10, 1.69, 15
10, 1.69, 15
10, 1.69, 15
10, 1.69, 16.67
10, 1.69, 15
10, 1.69, 15
10, 1.69, 16.67
10, 1.69, 15
10, 1.69, 15
11, 10.17, 11.67
11, 0, 26.67
11, 0, 26.67
11, 0, 28.33
11, 0, 26.67
11, 0, 26.67
11, 0, 26.67
11, 1.69, 26.67
11, 0, 26.67
11, 0, 26.67
11, 0, 26.67
11, 0, 26.67
11, 0, 25
11, 0, 26.67
11, 0, 26.67
11, 0, 26.67
12, 11.86, 20
12, 0, 21.67
12, 0, 21.67
12, 0, 23.33
12, 0, 21.67
12, 1.69, 21.67
12, 0, 23.33
12, 0, 21.67
12, 0, 21.67
12, 0, 21.67
12, 0, 21.67
12, 0, 21.67
12, 0, 21.67
12, 0, 21.67
12, 0, 21.67
12, 1.69, 21.67
13, 11.86, 33.33
13, 1.69, 16.67
13, 1.69, 18.33
13, 6.78, 16.67
13, 5.08, 16.67
13, 1.69, 18.33
13, 1.69, 16.67
13, 1.69, 16.67
13, 1.69, 18.33
13, 3.39, 16.67
13, 5.08, 18.33
13, 1.69, 16.67
13, 1.69, 16.67
13, 3.39, 16.67
13, 5.08, 16.67
13, 1.69, 18.33
14, 13.56, 33.33
14, 0, 28.33
14, 0, 31.67
14, 0, 31.67
14, 0, 28.33
14, 1.69, 31.67
14, 0, 26.67
14, 0, 28.33
14, 0, 31.67
14, 0, 28.33
14, 1.69, 31.67
14, 0, 28.33
14, 0, 28.33
14, 0, 28.33
14, 0, 31.67
14, 3.39, 28.33
